player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alexander-hollins,Alexander HOLLINS,WR,,,,,,,,0.0,18.0,2.0,,,
ayden-eberhardt,Ayden EBERHARDT,WR,,,,,,,,0.0,0.0,0.0,,,
bc-dst,BC DST,DST,,,,0.0,,,38.0,,,,,,1.0
bc-k,BC K,K,1.0,104.0,,,,,,,,,,,
bc-qb,BC QB,QB,,,0.0,,0.0,187.0,,,,,1.0,12.0,
boris-bede,Boris Bede,K,2.0,115.0,,,,,,,,,,,
chase-brice,Chase BRICE,QB,,,0.0,,0.0,41.0,,,,,,,
dakota-prukop,Dakota Prukop,QB,,,,,,,,,,,1.0,7.0,
david-mackie,David Mackie,RB/FB,,,,,,,,0.0,7.0,1.0,1.0,13.0,
dillon-mitchell,Dillon MITCHELL,WR,,,,,,,,0.0,20.0,3.0,,,
edm-dst,EDM DST,DST,,,,1.0,,,22.0,,,,,,0.0
edm-k,EDM K,K,2.0,115.0,,,,,,,,,,,
edm-qb,EDM QB,QB,,,1.0,,1.0,267.0,,,,,0.0,11.0,
eugene-lewis,Eugene LEWIS,WR,,,,,,,,0.0,0.0,0.0,,,
hergy-mayala,Hergy Mayala,WR,,,,,,,,0.0,0.0,0.0,,,
jake-dolegala,Jake Dolegala,QB,,,0.0,,0.0,146.0,,,,,0.0,5.0,
javon-leake,Javon LEAKE,RB,,,,,,,,0.0,37.0,4.0,1.0,97.0,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,0.0,28.0,3.0,,,
justin-mcinnis,Justin MCINNIS,WR,,,,,,,,0.0,54.0,3.0,,,
justin-rankin,Justin Rankin,RB,,,,,,,,1.0,17.0,1.0,0.0,77.0,
keon-hatcher,Keon HATCHER,WR,,,,,,,,0.0,62.0,4.0,,,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,0.0,50.0,5.0,,,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,,1.0,,1.0,171.0,,,,,,,
sean-whyte,Sean WHYTE,K,1.0,104.0,,,,,,,,,,,
stanley-berryhill,Stanley BERRYHILL,WR,,,,,,,,0.0,23.0,3.0,,,
tevin-jones,Tevin JONES,WR,,,,,,,,0.0,123.0,6.0,,,
tre-ford,Tre Ford,QB,,,0.0,,0.0,96.0,,,,,0.0,11.0,
vernon-adams-jr,Vernon ADAMS JR.,QB,,,0.0,,2.0,300.0,,,,,0.0,0.0,
william-stanback,William STANBACK,RB,,,,,,,,0.0,9.0,3.0,0.0,87.0,
