game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,,1.0,2.0,1.0,1.0,,,1.0,,14.0,6.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,1.0,2.0,10.0,7.0,2.0,,1.0,7.0,,29.0,86.0
2023-05-13-PHI-BOS,2023-05-13,2023,3,,PHI,BOS,,1.0,5.0,5.0,,1.0,,6.0,1.0,9.0,-1.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,,1.0,8.0,7.0,,,,8.0,1.0,43.0,50.0
2023-05-27-PHI-PIT,2023-05-27,2023,5,,PHI,PIT,2.0,2.0,12.0,13.0,1.0,2.0,,14.0,1.0,85.0,29.0
2023-06-03-CAR-PHI,2023-06-03,2023,6,,CAR,PHI,2.0,2.0,15.0,13.0,,,1.0,15.0,2.0,91.0,66.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,,PHI,TOR,2.0,1.0,5.0,6.0,,,1.0,6.0,,48.0,113.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,,MTL,PHI,4.0,1.0,18.0,15.0,1.0,2.0,3.0,16.0,1.0,65.0,179.0
2023-07-07-BOS-PHI,2023-07-07,2023,11,,BOS,PHI,,1.0,13.0,12.0,,,1.0,12.0,,55.0,116.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,1.0,1.0,10.0,10.0,1.0,,,11.0,1.0,64.0,45.0
2023-07-22-TOR-PHI,2023-07-22,2023,13,,TOR,PHI,1.0,1.0,6.0,5.0,,,,6.0,1.0,35.0,48.0
