game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_EMPIRE,,,1,AUDL,,,0.0,2.0,,,0.0,1.0,,,,,,1.0,37.0,130.0
SYNTHETIC_AUDL_W2_EMPIRE,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,,,,0.0,9.0,5.0
SYNTHETIC_AUDL_W3_EMPIRE,,,3,AUDL,,,1.0,1.0,,,0.0,0.0,,,,,,1.0,12.0,49.0
2022-06-18-OTT-NY,2022-06-18,2022,4,,OTT,NY,2.0,0.0,,,0.0,0.0,,,,,,0.0,8.0,52.0
2022-07-01-MTL-NY,2022-07-01,2022,6,,MTL,NY,0.0,0.0,,,0.0,0.0,,,,,,0.0,-2.0,17.0
2022-07-09-BOS-NY,2022-07-09,2022,7,,BOS,NY,1.0,0.0,,,0.0,0.0,,,,,,0.0,-11.0,145.0
2022-07-22-NY-PHI,2022-07-22,2022,9,,NY,PHI,0.0,0.0,,,0.0,0.0,,,,,,0.0,-30.0,44.0
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,1.0,,21.0,20.0,,,,,,1.0,23.0,3.0,-32.0,121.0
2023-05-05-TOR-NY,2023-05-05,2023,2,,TOR,NY,1.0,,10.0,13.0,,,2.0,,,,13.0,,7.0,114.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,,1.0,3.0,4.0,,1.0,,,1.0,,4.0,,6.0,40.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,,,3.0,3.0,,,,,,,4.0,1.0,-3.0,16.0
2023-06-02-NY-BOS,2023-06-02,2023,6,,NY,BOS,1.0,1.0,7.0,9.0,,,,,,,9.0,1.0,36.0,71.0
2023-06-10-ATL-NY,2023-06-10,2023,7,,ATL,NY,1.0,,6.0,6.0,,,,,,,6.0,,34.0,53.0
2023-06-16-BOS-NY,2023-06-16,2023,8,,BOS,NY,2.0,,11.0,13.0,,,1.0,1.0,,,13.0,,-5.0,132.0
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,1.0,,4.0,4.0,,,1.0,,,,5.0,1.0,,25.0
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,,0.0,8.0,9.0,,,,,,,9.0,0.0,21.0,47.0
2023-07-15-NY-SLC,2023-07-15,2023,12,,NY,SLC,,,,,,,1.0,,,,,,,
2023-07-22-MTL-NY,2023-07-22,2023,13,,MTL,NY,1.0,,3.0,5.0,,,,,,,5.0,,11.0,50.0
2024-04-27-MTL-NY,2024-04-27,2024,1,,MTL,NY,1.0,1.0,,,0.0,1.0,,,,,,0.0,19.0,80.0
2024-05-04-NY-ATL,2024-05-04,2024,2,,NY,ATL,0.0,1.0,,,0.0,0.0,,,,,,1.0,2.0,4.0
2024-05-17-NY-BOS,2024-05-17,2024,4,,NY,BOS,2.0,0.0,,,0.0,3.0,,,,,,3.0,136.0,304.0
2024-05-18-NY-MTL,2024-05-18,2024,4,,NY,MTL,1.0,0.0,,,0.0,1.0,,,,,,0.0,113.0,166.0
2024-05-24-PHI-NY,2024-05-24,2024,5,,PHI,NY,2.0,0.0,,,0.0,0.0,,,,,,0.0,-7.0,127.0
2024-05-31-BOS-NY,2024-05-31,2024,6,,BOS,NY,0.0,0.0,,,0.0,0.0,,,,,,1.0,-1.0,0.0
2024-06-08-NY-DC,2024-06-08,2024,7,,NY,DC,1.0,0.0,,,0.0,0.0,,,,,,1.0,69.0,304.0
2024-06-15-NY-PHI,2024-06-15,2024,8,,NY,PHI,1.0,0.0,,,0.0,1.0,,,,,,1.0,70.0,294.0
2024-06-21-TOR-NY,2024-06-21,2024,9,,TOR,NY,1.0,1.0,,,0.0,1.0,,,,,,0.0,49.0,106.0
2024-06-29-SLC-NY,2024-06-29,2024,10,,SLC,NY,2.0,0.0,,,0.0,2.0,,,,,,0.0,94.0,223.0
2024-07-12-NY-MIN,2024-07-12,2024,12,,NY,MIN,0.0,0.0,,,0.0,2.0,,,,,,0.0,38.0,49.0
2024-07-20-DC-NY,2024-07-20,2024,13,,DC,NY,0.0,0.0,,,0.0,2.0,,,,,,2.0,31.0,147.0
2025-04-26-MTL-BOS,2025-04-26,2025,1,,MTL,BOS,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0
2025-05-10-MTL-BOS,2025-05-10,2025,3,,MTL,BOS,1.0,0.0,,,0.0,0.0,,,,,,0.0,29.0,71.0
2025-05-16-NY-BOS,2025-05-16,2025,4,,NY,BOS,0.0,0.0,,,0.0,0.0,,,,,,0.0,3.0,69.0
2025-05-18-BOS-DC,2025-05-18,2025,4,,BOS,DC,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0
2025-06-07-PHI-BOS,2025-06-07,2025,7,,PHI,BOS,0.0,0.0,,,0.0,0.0,,,,,,0.0,12.0,26.0
2025-06-14-BOS-MTL,2025-06-14,2025,8,,BOS,MTL,0.0,1.0,,,0.0,0.0,,,,,,1.0,24.0,73.0
2025-06-15-BOS-TOR,2025-06-15,2025,8,,BOS,TOR,0.0,2.0,,,0.0,0.0,,,,,,0.0,2.0,16.0
2025-06-21-TOR-BOS,2025-06-21,2025,9,,TOR,BOS,1.0,1.0,,,0.0,2.0,,,,,,1.0,-27.0,147.0
2025-07-06-DC-BOS,2025-07-06,2025,11,,DC,BOS,0.0,0.0,,,0.0,0.0,,,,,,1.0,10.0,87.0
2025-07-11-BOS-PHI,2025-07-11,2025,12,,BOS,PHI,0.0,0.0,,,0.0,0.0,,,,,,0.0,-29.0,25.0
2025-07-12-BOS-DC,2025-07-12,2025,12,,BOS,DC,1.0,0.0,,,0.0,0.0,,,,,,0.0,35.0,51.0
2025-07-19-BOS-NY,2025-07-19,2025,13,,BOS,NY,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0
