game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-SEA-OAK,2023-04-29,2023,1,,SEA,OAK,2.0,1.0,11.0,14.0,,,1.0,,3.0,17.0,2.0,29.0,84.0
2023-05-13-SLC-OAK,2023-05-13,2023,3,,SLC,OAK,1.0,,7.0,6.0,,,1.0,,10.0,8.0,2.0,22.0,40.0
2023-05-19-OAK-POR,2023-05-19,2023,4,,OAK,POR,1.0,,3.0,4.0,,,,,6.0,4.0,,3.0,37.0
2023-06-03-OAK-SLC,2023-06-03,2023,6,,OAK,SLC,1.0,1.0,3.0,3.0,,1.0,,,7.0,3.0,,-17.0,27.0
2023-06-10-SD-OAK,2023-06-10,2023,7,,SD,OAK,1.0,,11.0,13.0,,2.0,,,5.0,17.0,2.0,18.0,42.0
2023-06-17-COL-OAK,2023-06-17,2023,8,,COL,OAK,1.0,,2.0,3.0,,,,,10.0,3.0,,-3.0,13.0
2023-07-08-POR-OAK,2023-07-08,2023,11,,POR,OAK,,1.0,9.0,13.0,2.0,3.0,1.0,1.0,7.0,14.0,1.0,6.0,112.0
2023-07-15-LA-OAK,2023-07-15,2023,12,,LA,OAK,,1.0,4.0,8.0,,,1.0,,4.0,8.0,,-14.0,20.0
2023-07-21-OAK-LA,2023-07-21,2023,13,,OAK,LA,,,8.0,8.0,,,,,9.0,8.0,,17.0,49.0
2023-07-22-OAK-SD,2023-07-22,2023,13,,OAK,SD,0.0,0.0,,,,,,0.0,,,,,
