game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_EMPIRE,,,1,AUDL,,,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W2_EMPIRE,,,2,AUDL,,,2.0,0.0,,,0.0,1.0,,,,,,2.0,76.0,147.0
SYNTHETIC_AUDL_W3_EMPIRE,,,3,AUDL,,,1.0,0.0,,,0.0,1.0,,,,,,0.0,29.0,65.0
2022-06-18-OTT-NY,2022-06-18,2022,4,,OTT,NY,0.0,1.0,,,0.0,4.0,,,,,,1.0,188.0,50.0
2022-07-01-MTL-NY,2022-07-01,2022,6,,MTL,NY,2.0,1.0,,,1.0,3.0,,,,,,0.0,205.0,145.0
2022-07-09-BOS-NY,2022-07-09,2022,7,,BOS,NY,0.0,0.0,,,0.0,1.0,,,,,,0.0,35.0,86.0
2022-07-22-NY-PHI,2022-07-22,2022,9,,NY,PHI,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,4.0,1.0,11.0,10.0,,,,1.0,,,11.0,,31.0,117.0
2023-05-05-TOR-NY,2023-05-05,2023,2,,TOR,NY,1.0,2.0,18.0,16.0,,1.0,3.0,,,,19.0,2.0,117.0,109.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,,1.0,5.0,6.0,,,,,,,6.0,,65.0,56.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,,2.0,10.0,7.0,,2.0,1.0,,,,8.0,1.0,122.0,22.0
2023-06-10-ATL-NY,2023-06-10,2023,7,,ATL,NY,1.0,2.0,7.0,6.0,,1.0,,1.0,,,7.0,,81.0,71.0
2023-06-16-BOS-NY,2023-06-16,2023,8,,BOS,NY,2.0,,13.0,10.0,,3.0,1.0,,,,10.0,,151.0,60.0
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,2.0,1.0,14.0,10.0,,2.0,,1.0,1.0,1.0,11.0,1.0,152.0,68.0
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,2.0,1.0,18.0,17.0,,,,0.0,,,18.0,1.0,119.0,36.0
2023-07-15-NY-SLC,2023-07-15,2023,12,,NY,SLC,,,,,,,1.0,,,,,,,
2023-07-22-MTL-NY,2023-07-22,2023,13,,MTL,NY,2.0,4.0,11.0,14.0,,,2.0,,,,14.0,,11.0,88.0
2024-04-27-MTL-NY,2024-04-27,2024,1,,MTL,NY,0.0,1.0,,,0.0,4.0,,,,,,3.0,152.0,50.0
2024-05-04-NY-ATL,2024-05-04,2024,2,,NY,ATL,1.0,0.0,,,0.0,0.0,,,,,,0.0,19.0,83.0
2024-05-17-NY-BOS,2024-05-17,2024,4,,NY,BOS,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0
