game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,SA,HOU,,,,25.0,1.0
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,HOU,ORL,,,,8.0,2.0
SYNTHETIC_XFL_2023_W4_ROUGHNECKS,,2023,4,XFL,,,0.0,0.0,,,
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,1.0,63.0,3.0
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,29.0,2.0
SYNTHETIC_XFL_2023_W6_ROUGHNECKS,,2023,6,XFL,,,0.0,0.0,,,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,6.0,1.0
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,,30.0,2.0
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,,26.0,2.0
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,,51.0,3.0
SYNTHETIC_UFL_2024_W1_BRAHMAS,,2024,1,UFL,,,1.0,,0.0,13.0,2.0
SYNTHETIC_UFL_2024_W2_BRAHMAS,,2024,2,UFL,,,,,0.0,23.0,3.0
SYNTHETIC_UFL_2024_W3_BRAHMAS,,2024,3,UFL,,,,,0.0,7.0,3.0
SYNTHETIC_UFL_2024_W4_BRAHMAS,,2024,4,UFL,,,,,0.0,107.0,7.0
SYNTHETIC_UFL_2024_W5_BRAHMAS,,2024,5,UFL,,,,,0.0,24.0,2.0
SYNTHETIC_UFL_2024_W6_BRAHMAS,,2024,6,UFL,,,,,0.0,20.0,3.0
SYNTHETIC_UFL_2024_W7_BRAHMAS,,2024,7,UFL,,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2024_W9_BRAHMAS,,2024,9,UFL,,,,,1.0,56.0,4.0
SYNTHETIC_UFL_2024_W10_BRAHMAS,,2024,10,UFL,,,,,0.0,14.0,1.0
SYNTHETIC_UFL_2024_W11_BRAHMAS,,2024,11,UFL,,,,,1.0,76.0,4.0
SYNTHETIC_UFL_2024_W12_BRAHMAS,,2024,12,UFL,,,,,0.0,3.0,1.0
SYNTHETIC_UFL_2026_W2_ST.LOUISBATTLEHAWKS,,2026,2,UFL,,,,,0.0,0.0,0.0
