game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,,,7.0,6.0,,,,6.0,,56.0,21.0
2023-05-07-PHI-DC,2023-05-07,2023,2,,PHI,DC,,,1.0,1.0,,,,1.0,,6.0,
2023-05-13-PHI-BOS,2023-05-13,2023,3,,PHI,BOS,,,12.0,11.0,1.0,1.0,1.0,11.0,,71.0,65.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,,,3.0,3.0,,,,3.0,,26.0,-7.0
2023-05-27-PHI-PIT,2023-05-27,2023,5,,PHI,PIT,1.0,1.0,11.0,12.0,,1.0,,12.0,,55.0,7.0
2023-06-03-CAR-PHI,2023-06-03,2023,6,,CAR,PHI,1.0,,6.0,5.0,1.0,,,6.0,,42.0,24.0
2023-06-10-PHI-TOR,2023-06-10,2023,7,,PHI,TOR,1.0,,2.0,2.0,,,1.0,2.0,,26.0,31.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,,MTL,PHI,,,10.0,7.0,1.0,,,10.0,2.0,74.0,40.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,,PHI,MTL,,1.0,10.0,10.0,2.0,2.0,,10.0,,94.0,29.0
2023-07-15-DC-PHI,2023-07-15,2023,12,,DC,PHI,,,1.0,1.0,,,,1.0,,9.0,-5.0
2023-07-22-TOR-PHI,2023-07-22,2023,13,,TOR,PHI,,,2.0,1.0,1.0,1.0,,1.0,,17.0,17.0
