game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_W8_BHAM,,,8,USFL,,,,1.0,43.0,3.0
SYNTHETIC_USFL_W9_BHAM,,,9,USFL,,,,1.0,39.0,2.0
SYNTHETIC_USFL_W10_BHAM,,,10,USFL,,,,0.0,46.0,3.0
SYNTHETIC_USFL_W11_BHAM,,,11,USFL,,,,0.0,74.0,5.0
SYNTHETIC_USFL_2023_W3_STALLIONS,,2023,3,USFL,,,,0.0,0.0,0.0
SYNTHETIC_USFL_2023_W4_STALLIONS,,2023,4,USFL,,,,0.0,19.0,2.0
SYNTHETIC_USFL_2023_W5_STALLIONS,,2023,5,USFL,,,,0.0,38.0,2.0
SYNTHETIC_USFL_2023_W6_STALLIONS,,2023,6,USFL,,,,0.0,37.0,4.0
SYNTHETIC_USFL_2023_W7_STALLIONS,,2023,7,USFL,,,1.0,0.0,21.0,3.0
SYNTHETIC_USFL_2023_W8_STALLIONS,,2023,8,USFL,,,,0.0,14.0,2.0
SYNTHETIC_USFL_2023_W9_STALLIONS,,2023,9,USFL,,,,0.0,19.0,1.0
