game_id,date,season,week,league,away,home,1pt_conversion,3pt_other,3pt_pass,conversions,fumble_td,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W7_PANTHERS,,2024,7,UFL,,,,,,,,0.0,,0.0,116.0,0.0,13.0
SYNTHETIC_UFL_2024_W8_PANTHERS,,2024,8,UFL,,,,,,,,0.0,,1.0,106.0,0.0,55.0
SYNTHETIC_UFL_2024_W9_PANTHERS,,2024,9,UFL,,,2.0,,,,,1.0,,1.0,121.0,2.0,76.0
SYNTHETIC_UFL_2024_W10_PANTHERS,,2024,10,UFL,,,,,,,,0.0,,0.0,0.0,0.0,37.0
SYNTHETIC_UFL_2025_W1_PANTHERS,,2025,1,UFL,,,1.0,,,,,0.0,,1.0,163.0,1.0,14.0
SYNTHETIC_UFL_2025_W2_PANTHERS,,2025,2,UFL,,,,1.0,,,,1.0,,1.0,132.0,0.0,30.0
SYNTHETIC_UFL_2025_W3_PANTHERS,,2025,3,UFL,,,1.0,,,,,1.0,,0.0,193.0,2.0,30.0
SYNTHETIC_UFL_2025_W4_PANTHERS,,2025,4,UFL,,,1.0,,,,,0.0,,2.0,200.0,0.0,45.0
SYNTHETIC_UFL_2025_W5_PANTHERS,,2025,5,UFL,,,,,,1.0,,0.0,,2.0,235.0,0.0,14.0
SYNTHETIC_UFL_2025_W6_PANTHERS,,2025,6,UFL,,,2.0,,,,,0.0,,2.0,188.0,1.0,76.0
SYNTHETIC_UFL_2025_W7_PANTHERS,,2025,7,UFL,,,,,1.0,,1.0,0.0,1.0,1.0,231.0,1.0,60.0
