game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_USFL_W1_PIT,,,1,USFL,,,,,0.0,2.0,17.0,1.0
SYNTHETIC_USFL_W2_PIT,,,2,USFL,,,,1.0,2.0,1.0,30.0,4.0
SYNTHETIC_USFL_W3_PIT,,,3,USFL,,,1.0,,0.0,0.0,24.0,1.0
SYNTHETIC_USFL_W4_PIT,,,4,USFL,,,,,0.0,0.0,21.0,0.0
SYNTHETIC_USFL_W5_PIT,,,5,USFL,,,,,1.0,1.0,20.0,1.0
SYNTHETIC_USFL_W6_PIT,,,6,USFL,,,,,0.0,0.0,26.0,3.0
SYNTHETIC_USFL_W7_PIT,,,7,USFL,,,,,0.0,,,
SYNTHETIC_USFL_W8_PIT,,,8,USFL,,,,,0.0,0.0,29.0,0.0
SYNTHETIC_USFL_W9_PIT,,,9,USFL,,,,,1.0,1.0,17.0,4.0
SYNTHETIC_USFL_W10_PIT,,,10,USFL,,,,,0.0,1.0,33.0,3.0
