game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,10.0,1.0
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,SA,ORL,,,,35.0,3.0
SYNTHETIC_XFL_2023_W2_BRAHMAS,,2023,2,XFL,,,1.0,0.0,,,
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,SA,HOU,,,1.0,9.0,1.0
SYNTHETIC_XFL_2023_W3_BRAHMAS,,2023,3,XFL,,,1.0,0.0,,,
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,1.0,19.0,2.0
SYNTHETIC_XFL_2023_W5_BRAHMAS,,2023,5,XFL,,,1.0,0.0,,,
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,,22.0,1.0
SYNTHETIC_XFL_2023_W6_BRAHMAS,,2023,6,XFL,,,0.0,0.0,,,
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,,-3.0,1.0
SYNTHETIC_XFL_2023_W7_BRAHMAS,,2023,7,XFL,,,0.0,0.0,,,
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,,7.0,1.0
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,,17.0,1.0
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,,,57.0,5.0
SYNTHETIC_XFL_2023_W10_BRAHMAS,,2023,10,XFL,,,0.0,1.0,,,
