game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_2024_W1_SSK,,2024,1,CFL,,,0.0,81.0,7.0,,
SYNTHETIC_CFL_2024_W2_SSK,,2024,2,CFL,,,0.0,112.0,6.0,,
SYNTHETIC_CFL_2024_W3_SSK,,2024,3,CFL,,,0.0,23.0,4.0,,
SYNTHETIC_CFL_2024_W5_SSK,,2024,5,CFL,,,0.0,26.0,1.0,,
SYNTHETIC_CFL_2024_W6_SSK,,2024,6,CFL,,,0.0,9.0,2.0,,
SYNTHETIC_CFL_2024_W8_SSK,,2024,8,CFL,,,0.0,23.0,2.0,,
SYNTHETIC_CFL_2024_W9_SSK,,2024,9,CFL,,,0.0,41.0,2.0,,
SYNTHETIC_CFL_2024_W10_SSK,,2024,10,CFL,,,0.0,9.0,1.0,,
SYNTHETIC_CFL_2024_W18_SSK,,2024,18,CFL,,,0.0,39.0,4.0,,
SYNTHETIC_CFL_2024_W19_SSK,,2024,19,CFL,,,1.0,60.0,6.0,,
SYNTHETIC_CFL_2024_W21_SSK,,2024,21,CFL,,,1.0,69.0,4.0,,
SYNTHETIC_CFL_2025_W2_WPG,,2025,2,CFL,,,0.0,13.0,1.0,0.0,5.0
SYNTHETIC_CFL_2025_W3_WPG,,2025,3,CFL,,,0.0,36.0,3.0,,
SYNTHETIC_CFL_2025_W4_WPG,,2025,4,CFL,,,0.0,26.0,2.0,,
SYNTHETIC_CFL_2025_W5_WPG,,2025,5,CFL,,,1.0,49.0,7.0,,
SYNTHETIC_CFL_2025_W7_WPG,,2025,7,CFL,,,0.0,14.0,2.0,,
SYNTHETIC_CFL_2025_W8_WPG,,2025,8,CFL,,,1.0,72.0,4.0,,
SYNTHETIC_CFL_2025_W9_WPG,,2025,9,CFL,,,0.0,53.0,6.0,,
SYNTHETIC_CFL_2025_W10_WPG,,2025,10,CFL,,,1.0,27.0,3.0,,
SYNTHETIC_CFL_2025_W11_WPG,,2025,11,CFL,,,1.0,50.0,4.0,,
SYNTHETIC_CFL_2025_W12_WPG,,2025,12,CFL,,,0.0,40.0,3.0,,
SYNTHETIC_CFL_2025_W17_WPG,,2025,17,CFL,,,0.0,33.0,2.0,,
SYNTHETIC_CFL_2025_W19_WPG,,2025,19,CFL,,,0.0,43.0,5.0,,
SYNTHETIC_CFL_2025_W20_WPG,,2025,20,CFL,,,0.0,40.0,4.0,,
SYNTHETIC_CFL_2025_W21_WPG,,2025,21,CFL,,,0.0,34.0,2.0,,
