game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2024-06-08-PHI-BOS,2024-06-08,2024,7,,PHI,BOS,0.0,0.0,,,0.0,0.0,,,,0.0,-9.0,38.0
2024-06-15-NY-PHI,2024-06-15,2024,8,,NY,PHI,1.0,0.0,,,0.0,2.0,,,,0.0,181.0,1.0
2024-06-21-MTL-PHI,2024-06-21,2024,9,,MTL,PHI,1.0,0.0,,,0.0,0.0,,,,0.0,48.0,44.0
2024-06-29-PHI-TOR,2024-06-29,2024,10,,PHI,TOR,0.0,1.0,,,0.0,4.0,,,,0.0,261.0,-12.0
2024-06-30-PHI-MTL,2024-06-30,2024,10,,PHI,MTL,0.0,0.0,,,0.0,0.0,,,,0.0,43.0,42.0
2024-07-06-PHI-CAR,2024-07-06,2024,11,,PHI,CAR,0.0,0.0,,,0.0,1.0,,,,0.0,40.0,27.0
2024-07-20-PIT-PHI,2024-07-20,2024,13,,PIT,PHI,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-04-26-PHI-DC,2025-04-26,2025,1,,PHI,DC,0.0,0.0,,,0.0,1.0,,,,0.0,41.0,13.0
2025-05-04-TOR-PHI,2025-05-04,2025,2,,TOR,PHI,0.0,0.0,,,0.0,3.0,,,,0.0,109.0,13.0
2025-05-10-PHI-TOR,2025-05-10,2025,3,,PHI,TOR,0.0,0.0,,,0.0,3.0,,,,0.0,132.0,20.0
2025-05-23-NY-PHI,2025-05-23,2025,5,,NY,PHI,1.0,2.0,,,0.0,4.0,,,,0.0,148.0,93.0
2025-05-31-CAR-PHI,2025-05-31,2025,6,,CAR,PHI,3.0,0.0,,,0.0,2.0,,,,0.0,125.0,47.0
2025-06-06-PHI-MTL,2025-06-06,2025,7,,PHI,MTL,0.0,0.0,,,0.0,4.0,,,,1.0,154.0,58.0
2025-06-07-PHI-BOS,2025-06-07,2025,7,,PHI,BOS,0.0,0.0,,,0.0,1.0,,,,0.0,93.0,8.0
2025-06-14-PHI-PIT,2025-06-14,2025,8,,PHI,PIT,0.0,0.0,,,0.0,3.0,,,,0.0,38.0,52.0
2025-06-28-MTL-PHI,2025-06-28,2025,10,,MTL,PHI,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2025-07-11-BOS-PHI,2025-07-11,2025,12,,BOS,PHI,0.0,0.0,,,0.0,3.0,,,,0.0,112.0,25.0
2025-07-13-PHI-NY,2025-07-13,2025,12,,PHI,NY,1.0,0.0,,,0.0,0.0,,,,0.0,77.0,19.0
2025-07-19-DC-PHI,2025-07-19,2025,13,,DC,PHI,1.0,0.0,,,0.0,0.0,,,,2.0,186.0,34.0
2026-05-02-TOR-PHI,2026-05-02,2026,2,,TOR,PHI,0.0,0.0,,,0.0,0.0,,,,0.0,9.0,0.0
