game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-SEA-OAK,2023-04-29,2023,1,,SEA,OAK,1.0,1.0,23.0,22.0,2.0,1.0,3.0,,22.0,,212.0,98.0
2023-05-13-SLC-OAK,2023-05-13,2023,3,,SLC,OAK,4.0,1.0,18.0,16.0,,1.0,4.0,1.0,16.0,,266.0,79.0
2023-05-19-OAK-POR,2023-05-19,2023,4,,OAK,POR,,,10.0,7.0,,2.0,,,8.0,,125.0,30.0
2023-05-20-OAK-SEA,2023-05-20,2023,4,,OAK,SEA,2.0,,,,2.0,,1.0,,,,,
2023-06-03-OAK-SLC,2023-06-03,2023,6,,OAK,SLC,,1.0,5.0,4.0,,1.0,1.0,,4.0,,181.0,19.0
2023-06-04-OAK-COL,2023-06-04,2023,6,,OAK,COL,1.0,,,,,,,,,,,
2023-06-10-SD-OAK,2023-06-10,2023,7,,SD,OAK,,,2.0,1.0,1.0,1.0,1.0,,1.0,,24.0,-5.0
2023-06-17-COL-OAK,2023-06-17,2023,8,,COL,OAK,,,10.0,6.0,,4.0,1.0,,6.0,,213.0,6.0
2023-07-08-POR-OAK,2023-07-08,2023,11,,POR,OAK,,,8.0,5.0,,3.0,,,5.0,,83.0,-2.0
2023-07-15-LA-OAK,2023-07-15,2023,12,,LA,OAK,1.0,,10.0,5.0,,3.0,,,7.0,2.0,148.0,32.0
2023-07-21-OAK-LA,2023-07-21,2023,13,,OAK,LA,1.0,,6.0,3.0,,3.0,,,3.0,,119.0,28.0
2023-07-22-OAK-SD,2023-07-22,2023,13,,OAK,SD,,,,,,,0.0,,,0.0,,
