game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,,0.0,0.0,,,,
FOOTBALL_XFL_2023_2_18_VGS@ARL,2023-02-18,2023,1,XFL,VGS,ARL,,,1.0,,,172.0,,,16.0
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ARL,HOU,,,2.0,1.0,2.0,120.0,,,14.0
SYNTHETIC_XFL_2023_W2_RENEGADES,,2023,2,XFL,,,,1.0,,,,,,,
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,ORL,ARL,,,,,1.0,124.0,,,3.0
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,ARL,STL,,,3.0,1.0,,205.0,,,11.0
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,1.0,,,148.0,,,17.0
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,1.0,1.0,1.0,163.0,,,1.0
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,1.0,,,218.0,,,29.0
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,,,190.0,,,2.0
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,1.0,,1.0,335.0,,,15.0
SYNTHETIC_XFL_2023_W9_RENEGADES,,2023,9,XFL,,,0.0,1.0,,,,,,,
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,1.0,,,205.0,,,20.0
SYNTHETIC_UFL_2024_W1_RENEGADES,,2024,1,UFL,,,,1.0,1.0,1.0,1.0,214.0,,0.0,12.0
SYNTHETIC_UFL_2024_W2_RENEGADES,,2024,2,UFL,,,1.0,,0.0,,1.0,237.0,1.0,1.0,13.0
SYNTHETIC_UFL_2024_W3_RENEGADES,,2024,3,UFL,,,,2.0,0.0,,2.0,301.0,,1.0,20.0
SYNTHETIC_UFL_2024_W4_RENEGADES,,2024,4,UFL,,,,,1.0,1.0,1.0,144.0,,0.0,0.0
SYNTHETIC_UFL_2024_W5_RENEGADES,,2024,5,UFL,,,,,0.0,,1.0,270.0,,0.0,0.0
SYNTHETIC_UFL_2024_W6_RENEGADES,,2024,6,UFL,,,,1.0,0.0,,1.0,180.0,,0.0,0.0
SYNTHETIC_UFL_2024_W7_RENEGADES,,2024,7,UFL,,,,3.0,0.0,,4.0,309.0,,0.0,-3.0
SYNTHETIC_UFL_2024_W8_RENEGADES,,2024,8,UFL,,,,,0.0,,2.0,209.0,,0.0,2.0
SYNTHETIC_UFL_2024_W9_RENEGADES,,2024,9,UFL,,,,2.0,0.0,,3.0,259.0,,0.0,7.0
SYNTHETIC_UFL_2024_W10_RENEGADES,,2024,10,UFL,,,,1.0,2.0,,3.0,215.0,,0.0,0.0
SYNTHETIC_UFL_2025_W1_RENEGADES,,2025,1,UFL,,,,3.0,1.0,,0.0,164.0,,0.0,18.0
SYNTHETIC_UFL_2025_W2_RENEGADES,,2025,2,UFL,,,,1.0,0.0,,1.0,211.0,,0.0,-1.0
SYNTHETIC_UFL_2025_W3_RENEGADES,,2025,3,UFL,,,,,0.0,,0.0,204.0,,0.0,0.0
SYNTHETIC_UFL_2025_W4_RENEGADES,,2025,4,UFL,,,,3.0,1.0,,1.0,149.0,,0.0,8.0
SYNTHETIC_UFL_2025_W5_RENEGADES,,2025,5,UFL,,,,,1.0,,1.0,268.0,,0.0,10.0
SYNTHETIC_UFL_2025_W6_RENEGADES,,2025,6,UFL,,,,,1.0,2.0,0.0,145.0,,0.0,3.0
SYNTHETIC_UFL_2025_W7_RENEGADES,,2025,7,UFL,,,,,0.0,,2.0,314.0,,0.0,6.0
SYNTHETIC_UFL_2025_W8_RENEGADES,,2025,8,UFL,,,1.0,1.0,1.0,1.0,2.0,350.0,,1.0,10.0
SYNTHETIC_UFL_2025_W9_RENEGADES,,2025,9,UFL,,,,,0.0,,3.0,208.0,,0.0,-3.0
SYNTHETIC_UFL_2025_W10_RENEGADES,,2025,10,UFL,,,,1.0,1.0,1.0,0.0,283.0,,1.0,-2.0
