game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_SOL,,,2,AUDL,,,0.0,0.0,,,0.0,1.0,,,,,0.0,31.0,61.0
2022-06-17-ATX-CHI,2022-06-17,2022,4,,ATX,CHI,1.0,0.0,,,0.0,0.0,,,,,2.0,10.0,2.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,0.0,0.0,,,0.0,0.0,,,,,0.0,36.0,43.0
2022-06-25-DAL-ATX,2022-06-25,2022,5,,DAL,ATX,0.0,0.0,,,0.0,0.0,,,,,0.0,17.0,1.0
2022-07-02-ATX-DAL,2022-07-02,2022,6,,ATX,DAL,2.0,0.0,,,0.0,0.0,,,,,0.0,48.0,20.0
2022-07-09-ATL-ATX,2022-07-09,2022,7,,ATL,ATX,0.0,1.0,,,0.0,1.0,,,,,0.0,21.0,1.0
2022-07-16-DAL-ATX,2022-07-16,2022,8,,DAL,ATX,0.0,2.0,,,0.0,0.0,,,,,0.0,-8.0,121.0
2022-07-29-TB-ATX,2022-07-29,2022,10,,TB,ATX,4.0,1.0,,,0.0,1.0,,,,,1.0,86.0,143.0
2023-04-29-ATX-HTX,2023-04-29,2023,1,,ATX,HTX,,,5.0,7.0,,,1.0,1.0,,7.0,,14.0,81.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,,ATX,ATL,,,1.0,2.0,,,,,,2.0,1.0,3.0,
2023-05-13-ATX-CAR,2023-05-13,2023,3,,ATX,CAR,,,,,,,,,,,,,2.0
2023-05-20-SD-ATX,2023-05-20,2023,4,,SD,ATX,,,12.0,13.0,,1.0,1.0,,,13.0,,26.0,28.0
2023-05-28-ATX-DAL,2023-05-28,2023,5,,ATX,DAL,,,3.0,4.0,,,2.0,1.0,,4.0,,11.0,69.0
2023-06-02-HTX-ATX,2023-06-02,2023,6,,HTX,ATX,1.0,2.0,8.0,7.0,,,,,,8.0,1.0,15.0,39.0
2023-06-17-ATX-HTX,2023-06-17,2023,8,,ATX,HTX,,,4.0,5.0,,,,,,5.0,,11.0,40.0
2023-07-01-DAL-ATX,2023-07-01,2023,10,,DAL,ATX,4.0,1.0,13.0,15.0,,,1.0,1.0,,15.0,,22.0,113.0
2023-07-08-ATX-DAL,2023-07-08,2023,11,,ATX,DAL,,,7.0,8.0,,,,1.0,1.0,8.0,,5.0,72.0
2024-04-26-DAL-HTX,2024-04-26,2024,1,,DAL,HTX,1.0,0.0,,,1.0,0.0,,,,,0.0,1.0,67.0
2024-05-11-ATX-DAL,2024-05-11,2024,3,,ATX,DAL,1.0,2.0,,,0.0,0.0,,,,,2.0,79.0,72.0
2024-05-18-HTX-DAL,2024-05-18,2024,4,,HTX,DAL,0.0,0.0,,,1.0,1.0,,,,,2.0,-10.0,4.0
2024-06-01-CAR-DAL,2024-06-01,2024,6,,CAR,DAL,0.0,0.0,,,0.0,0.0,,,,,0.0,1.0,60.0
2024-06-08-HTX-DAL,2024-06-08,2024,7,,HTX,DAL,1.0,2.0,,,0.0,0.0,,,,,0.0,12.0,35.0
2024-06-15-DAL-ATX,2024-06-15,2024,8,,DAL,ATX,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-21-ATX-DAL,2024-06-21,2024,9,,ATX,DAL,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-22-DAL-HTX,2024-06-22,2024,9,,DAL,HTX,2.0,1.0,,,0.0,0.0,,,,,3.0,-19.0,160.0
2024-07-05-DAL-HTX,2024-07-05,2024,11,,DAL,HTX,0.0,0.0,,,1.0,0.0,,,,,3.0,-134.0,319.0
2024-07-12-DAL-CAR,2024-07-12,2024,12,,DAL,CAR,0.0,0.0,,,0.0,0.0,,,,,1.0,-4.0,62.0
2024-07-13-DAL-ATL,2024-07-13,2024,12,,DAL,ATL,0.0,0.0,,,0.0,0.0,,,,,0.0,-36.0,33.0
2024-07-20-ATX-DAL,2024-07-20,2024,13,,ATX,DAL,0.0,0.0,,,0.0,0.0,,,,,1.0,-16.0,18.0
