game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks,safety
SYNTHETIC_USFL_W1_HOU,,,1,USFL,,,,1.0,2.0,1.0,12.0,3.0,
SYNTHETIC_USFL_W2_HOU,,,2,USFL,,,,1.0,1.0,1.0,33.0,1.0,
SYNTHETIC_USFL_W3_HOU,,,3,USFL,,,,,1.0,1.0,27.0,3.0,
SYNTHETIC_USFL_W4_HOU,,,4,USFL,,,,,1.0,3.0,23.0,2.0,
SYNTHETIC_USFL_W5_HOU,,,5,USFL,,,,,0.0,1.0,21.0,2.0,
SYNTHETIC_USFL_W6_HOU,,,6,USFL,,,1.0,1.0,2.0,0.0,26.0,5.0,
SYNTHETIC_USFL_W7_HOU,,,7,USFL,,,,1.0,0.0,2.0,35.0,0.0,
SYNTHETIC_USFL_W8_HOU,,,8,USFL,,,,,1.0,1.0,13.0,4.0,
SYNTHETIC_USFL_W9_HOU,,,9,USFL,,,,,0.0,1.0,15.0,2.0,1.0
SYNTHETIC_USFL_W10_HOU,,,10,USFL,,,1.0,2.0,0.0,2.0,3.0,4.0,
