game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_MECHANIX,,,1,AUDL,,,0.0,1.0,,,0.0,0.0,,0.0,13.0,-9.0
SYNTHETIC_AUDL_W2_MECHANIX,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,0.0,11.0,-7.0
SYNTHETIC_AUDL_W3_MECHANIX,,,3,AUDL,,,0.0,0.0,,,0.0,0.0,,0.0,9.0,18.0
2022-06-18-DET-PIT,2022-06-18,2022,4,,DET,PIT,0.0,0.0,,,1.0,1.0,,0.0,65.0,-2.0
2022-07-02-MIN-DET,2022-07-02,2022,6,,MIN,DET,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
2022-07-09-DET-PIT,2022-07-09,2022,7,,DET,PIT,0.0,0.0,,,0.0,0.0,,1.0,41.0,35.0
2022-07-16-MAD-DET,2022-07-16,2022,8,,MAD,DET,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
2022-07-30-DET-CHI,2022-07-30,2022,10,,DET,CHI,0.0,0.0,,,0.0,0.0,,0.0,56.0,-4.0
2022-07-31-DET-MIN,2022-07-31,2022,10,,DET,MIN,0.0,0.0,,,0.0,0.0,,1.0,28.0,-5.0
2023-05-13-PIT-DET,2023-05-13,2023,3,,PIT,DET,,,1.0,1.0,,,1.0,,,9.0
2023-06-03-IND-DET,2023-06-03,2023,6,,IND,DET,,,,,1.0,,,,,
2023-06-30-DET-PIT,2023-06-30,2023,10,,DET,PIT,,,2.0,2.0,,,2.0,,21.0,-7.0
2023-07-08-MAD-DET,2023-07-08,2023,11,,MAD,DET,,,1.0,1.0,1.0,,1.0,,12.0,-11.0
2023-07-15-TOR-DET,2023-07-15,2023,12,,TOR,DET,,,8.0,8.0,1.0,,8.0,,20.0,61.0
2023-07-22-DET-MAD,2023-07-22,2023,13,,DET,MAD,,0.0,3.0,2.0,,,2.0,,17.0,11.0
2023-07-23-DET-MIN,2023-07-23,2023,13,,DET,MIN,1.0,,,,,,,,,
