game_id,date,season,week,league,away,home,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
2024-04-27-MTL-NY,2024-04-27,2024,1,,MTL,NY,3.0,1.0,0.0,2.0,4.0,229.0,114.0
2024-05-04-NY-ATL,2024-05-04,2024,2,,NY,ATL,1.0,0.0,0.0,3.0,0.0,316.0,150.0
2024-05-17-NY-BOS,2024-05-17,2024,4,,NY,BOS,3.0,1.0,1.0,1.0,1.0,158.0,143.0
2024-05-18-NY-MTL,2024-05-18,2024,4,,NY,MTL,1.0,0.0,0.0,2.0,1.0,123.0,254.0
2024-05-24-PHI-NY,2024-05-24,2024,5,,PHI,NY,3.0,0.0,0.0,0.0,2.0,226.0,319.0
2024-05-31-BOS-NY,2024-05-31,2024,6,,BOS,NY,1.0,0.0,0.0,0.0,1.0,219.0,215.0
2024-06-08-NY-DC,2024-06-08,2024,7,,NY,DC,3.0,0.0,0.0,1.0,2.0,160.0,159.0
2024-06-15-NY-PHI,2024-06-15,2024,8,,NY,PHI,3.0,0.0,0.0,3.0,2.0,243.0,367.0
2024-06-21-TOR-NY,2024-06-21,2024,9,,TOR,NY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-29-SLC-NY,2024-06-29,2024,10,,SLC,NY,4.0,0.0,0.0,0.0,1.0,72.0,143.0
2024-07-12-NY-MIN,2024-07-12,2024,12,,NY,MIN,3.0,0.0,0.0,0.0,0.0,100.0,110.0
2024-07-20-DC-NY,2024-07-20,2024,13,,DC,NY,4.0,1.0,0.0,1.0,1.0,220.0,289.0
