game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_WINDCHILL,,,1,AUDL,,,2.0,0.0,,,1.0,3.0,,,,0.0,223.0,50.0
SYNTHETIC_AUDL_W2_WINDCHILL,,,2,AUDL,,,3.0,0.0,,,0.0,3.0,,,,0.0,144.0,72.0
SYNTHETIC_AUDL_W3_WINDCHILL,,,3,AUDL,,,2.0,1.0,,,0.0,1.0,,,,0.0,81.0,141.0
2022-06-25-MAD-MIN,2022-06-25,2022,5,,MAD,MIN,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-01-MIN-CHI,2022-07-01,2022,6,,MIN,CHI,1.0,0.0,,,0.0,4.0,,,,0.0,187.0,57.0
2022-07-02-MIN-DET,2022-07-02,2022,6,,MIN,DET,4.0,0.0,,,0.0,2.0,,,,1.0,166.0,85.0
2022-07-10-MIN-MAD,2022-07-10,2022,7,,MIN,MAD,0.0,0.0,,,0.0,4.0,,,,1.0,145.0,-6.0
2022-07-16-CHI-MIN,2022-07-16,2022,8,,CHI,MIN,0.0,0.0,,,1.0,4.0,,,,1.0,149.0,26.0
2022-07-23-MIN-IND,2022-07-23,2022,9,,MIN,IND,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-31-DET-MIN,2022-07-31,2022,10,,DET,MIN,0.0,0.0,,,0.0,1.0,,,,0.0,53.0,22.0
2023-05-20-PIT-MIN,2023-05-20,2023,4,,PIT,MIN,1.0,,5.0,4.0,,1.0,1.0,,4.0,,117.0,-1.0
2023-05-27-MIN-DET,2023-05-27,2023,5,,MIN,DET,,,5.0,5.0,,,2.0,,6.0,,95.0,46.0
2023-05-28-MIN-CHI,2023-05-28,2023,5,,MIN,CHI,,1.0,,,,,,,,1.0,,
2023-06-03-CHI-MIN,2023-06-03,2023,6,,CHI,MIN,1.0,,10.0,7.0,,2.0,1.0,,7.0,,109.0,7.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,1.0,1.0,7.0,5.0,,,,,7.0,1.0,128.0,17.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,,1.0,10.0,8.0,,2.0,1.0,,8.0,,137.0,20.0
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,2.0,,9.0,8.0,,,2.0,1.0,9.0,1.0,143.0,80.0
2023-07-15-CHI-MIN,2023-07-15,2023,12,,CHI,MIN,,1.0,5.0,5.0,,1.0,1.0,,5.0,,41.0,39.0
2023-07-23-DET-MIN,2023-07-23,2023,13,,DET,MIN,1.0,,6.0,5.0,,,1.0,1.0,6.0,1.0,135.0,93.0
2024-04-27-MIN-PIT,2024-04-27,2024,1,,MIN,PIT,0.0,0.0,,,0.0,0.0,,,,1.0,30.0,54.0
2024-05-11-MIN-CHI,2024-05-11,2024,3,,MIN,CHI,0.0,0.0,,,0.0,1.0,,,,0.0,61.0,40.0
2024-05-18-PIT-MIN,2024-05-18,2024,4,,PIT,MIN,1.0,1.0,,,0.0,0.0,,,,1.0,84.0,92.0
2024-05-24-MIN-MAD,2024-05-24,2024,5,,MIN,MAD,0.0,1.0,,,0.0,0.0,,,,0.0,26.0,22.0
2024-06-08-MIN-IND,2024-06-08,2024,7,,MIN,IND,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-15-COL-MIN,2024-06-15,2024,8,,COL,MIN,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-22-MAD-MIN,2024-06-22,2024,9,,MAD,MIN,0.0,1.0,,,0.0,2.0,,,,1.0,46.0,20.0
2024-06-28-MIN-CHI,2024-06-28,2024,10,,MIN,CHI,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-29-MIN-DET,2024-06-29,2024,10,,MIN,DET,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-07-06-CHI-MIN,2024-07-06,2024,11,,CHI,MIN,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-07-12-NY-MIN,2024-07-12,2024,12,,NY,MIN,0.0,0.0,,,2.0,1.0,,,,0.0,23.0,42.0
2024-07-20-DET-MIN,2024-07-20,2024,13,,DET,MIN,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
