game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_SOL,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-06-17-ATX-CHI,2022-06-17,2022,4,,ATX,CHI,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-06-25-DAL-ATX,2022-06-25,2022,5,,DAL,ATX,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-02-ATX-DAL,2022-07-02,2022,6,,ATX,DAL,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-09-ATL-ATX,2022-07-09,2022,7,,ATL,ATX,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-16-DAL-ATX,2022-07-16,2022,8,,DAL,ATX,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-29-TB-ATX,2022-07-29,2022,10,,TB,ATX,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2023-06-02-HTX-ATX,2023-06-02,2023,6,,HTX,ATX,1.0,,3.0,2.0,,1.0,2.0,2.0,,47.0,-25.0
2023-06-03-DAL-HTX,2023-06-03,2023,6,,DAL,HTX,,1.0,,,,,,,,,
2023-06-17-ATX-HTX,2023-06-17,2023,8,,ATX,HTX,,,8.0,8.0,,,1.0,8.0,,148.0,44.0
2023-06-23-ATL-HTX,2023-06-23,2023,9,,ATL,HTX,,,5.0,5.0,,,,5.0,,84.0,-24.0
2023-07-07-HTX-ATX,2023-07-07,2023,11,,HTX,ATX,,,5.0,4.0,,1.0,1.0,4.0,,83.0,5.0
2023-07-15-HTX-DAL,2023-07-15,2023,12,,HTX,DAL,,,8.0,4.0,,3.0,,5.0,,189.0,3.0
2023-07-22-DAL-HTX,2023-07-22,2023,13,,DAL,HTX,,,6.0,3.0,,2.0,,4.0,1.0,154.0,13.0
2025-04-25-ATX-HTX,2025-04-25,2025,1,,ATX,HTX,0.0,0.0,,,0.0,0.0,,,0.0,76.0,-20.0
2025-05-03-MAD-ATX,2025-05-03,2025,2,,MAD,ATX,0.0,0.0,,,0.0,1.0,,,0.0,32.0,0.0
2025-05-10-HTX-ATX,2025-05-10,2025,3,,HTX,ATX,0.0,2.0,,,0.0,2.0,,,0.0,95.0,0.0
2025-05-17-COL-ATX,2025-05-17,2025,4,,COL,ATX,1.0,1.0,,,0.0,2.0,,,0.0,82.0,32.0
2025-06-06-ATX-LA,2025-06-06,2025,7,,ATX,LA,0.0,1.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-06-07-ATX-SD,2025-06-07,2025,7,,ATX,SD,0.0,1.0,,,0.0,0.0,,,0.0,39.0,20.0
2025-06-14-HTX-ATX,2025-06-14,2025,8,,HTX,ATX,0.0,2.0,,,0.0,0.0,,,0.0,34.0,-15.0
2025-06-27-ATX-ATL,2025-06-27,2025,10,,ATX,ATL,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-06-28-ATX-CAR,2025-06-28,2025,10,,ATX,CAR,0.0,1.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-07-05-ATX-HTX,2025-07-05,2025,11,,ATX,HTX,0.0,1.0,,,0.0,0.0,,,0.0,27.0,21.0
2025-07-12-LA-ATX,2025-07-12,2025,12,,LA,ATX,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2025-07-18-CAR-ATX,2025-07-18,2025,13,,CAR,ATX,0.0,0.0,,,0.0,0.0,,,0.0,50.0,19.0
2026-04-25-ATL-ATX,2026-04-25,2026,1,,ATL,ATX,1.0,0.0,,,0.0,0.0,,,0.0,32.0,15.0
