player_id,player_name,positions,assists,games_played,goals,penalty_minutes,points
adam-jay,Adam Jay,P,2.0,10.0,2.0,2.0,4.0
adam-wiedemann,Adam Wiedemann,P,2.0,11.0,4.0,2.0,6.0
alex-pace,Alex Pace,P,3.0,13.0,1.0,8.0,4.0
andrew-kew,Andrew Kew,P,27.0,10.0,15.0,,42.0
austin-shanks,Austin Shanks,P,16.0,9.0,16.0,4.0,32.0
ben-mcintosh,Ben McIntosh,P,15.0,10.0,20.0,6.0,35.0
billy-hostrawser,Billy Hostrawser,P,3.0,11.0,,16.0,3.0
brad-kri,Brad Kri,P,10.0,11.0,,16.0,10.0
brendan-bomberry,Brendan Bomberry,P,8.0,12.0,1.0,8.0,9.0
brett-craig,Brett Craig,P,2.0,8.0,2.0,10.0,4.0
brooker-muir,Brooker Muir,,,2.0,,2.0,
bryan-cole,Bryan Cole,P,8.0,8.0,8.0,4.0,16.0
challen-rogers,Challen Rogers,P,14.0,11.0,11.0,6.0,25.0
chris-boushy,Chris Boushy,P,6.0,4.0,1.0,2.0,7.0
chris-corbeil,Chris Corbeil,P,4.0,10.0,5.0,6.0,9.0
christian-del-bianco,Christian Del Bianco,G,,10.0,,,
clarke-petterson,Clarke Petterson,P,22.0,11.0,16.0,4.0,38.0
cody-jamieson,Cody Jamieson,P,33.0,12.0,26.0,18.0,59.0
colton-armstrong,Colton Armstrong,P,6.0,11.0,1.0,8.0,7.0
connor-robinson,Connor Robinson,P,3.0,8.0,4.0,,7.0
corey-small,Corey Small,P,21.0,11.0,17.0,,38.0
curtis-dickson,Curtis Dickson,P,20.0,10.0,21.0,4.0,41.0
dan-craig,Dan Craig,P,20.0,10.0,11.0,,31.0
devlin-shanahan,Devlin Shanahan,G,,1.0,,,
dhane-smith,Dhane Smith,P,33.0,8.0,15.0,4.0,48.0
dillon-ward,Dillon Ward,G,,13.0,,,
eli-gobrecht,Eli Gobrecht,P,5.0,12.0,2.0,16.0,7.0
eli-mclaughlin,Eli McLaughlin,P,36.0,11.0,15.0,2.0,51.0
eli-salama,Eli Salama,P,7.0,10.0,5.0,13.0,12.0
eric-fannell,Eric Fannell,P,5.0,9.0,6.0,10.0,11.0
evan-messenger,Evan Messenger,P,,1.0,,,
frank-scigliano,Frank Scigliano,G,,10.0,,,
graeme-hossack,Graeme Hossack,P,9.0,12.0,9.0,7.0,18.0
graydon-bradley,Graydon Bradley,P,1.0,9.0,1.0,8.0,2.0
haiden-dickson,Haiden Dickson,P,2.0,5.0,4.0,9.0,6.0
holden-garlent,Holden Garlent,P,1.0,10.0,1.0,2.0,2.0
ian-mackay,Ian MacKay,P,4.0,11.0,7.0,16.0,11.0
isaiah-davis-allen,Isaiah Davis-Allen,P,5.0,11.0,,4.0,5.0
jake-withers,Jake Withers,P,4.0,12.0,2.0,12.0,6.0
james-barclay,James Barclay,P,,11.0,2.0,8.0,2.0
jay-thorimbert,Jay Thorimbert,P,,6.0,1.0,,1.0
jeff-cornwall,Jeff Cornwall,P,2.0,7.0,2.0,,4.0
jesse-king,Jesse King,P,9.0,4.0,6.0,4.0,15.0
joe-resetarits,Joe Resetarits,P,20.0,11.0,24.0,4.0,44.0
johnny-pearson,Johnny Pearson,P,,3.0,3.0,6.0,3.0
jordan-gilles,Jordan Gilles,P,2.0,13.0,5.0,6.0,7.0
jordan-macintosh,Jordan MacIntosh,P,16.0,11.0,2.0,4.0,18.0
josh-byrne,Josh Byrne,P,26.0,11.0,29.0,7.0,55.0
josh-jubenville,Josh Jubenville,P,8.0,11.0,3.0,14.0,11.0
kason-tarbell,Kason Tarbell,P,3.0,7.0,,4.0,3.0
keegan-bal,Keegan Bal,P,39.0,13.0,13.0,,52.0
kevin-brown,Kevin BROWN,LB/P/RB,5.0,11.0,2.0,6.0,7.0
kyle-buchanan,Kyle Buchanan,P,27.0,12.0,12.0,4.0,39.0
kyle-jackson,Kyle Jackson,P,17.0,11.0,8.0,6.0,25.0
latrell-harris,Latrell Harris,P,,1.0,,2.0,
liam-leclair,Liam LeClair,P,,6.0,,4.0,
liam-patten,Liam Patten,P,2.0,13.0,1.0,24.0,3.0
luc-magnan,Luc Magnan,P,3.0,12.0,,16.0,3.0
lyle-thompson,Lyle Thompson,P,33.0,12.0,27.0,4.0,60.0
mark-matthews,Mark Matthews,P,41.0,10.0,13.0,2.0,54.0
marshal-king,Marshal King,,13.0,5.0,3.0,,16.0
matt-beers,Matt Beers,P,7.0,12.0,2.0,45.0,9.0
matt-hossack,Matt Hossack,P,4.0,10.0,1.0,2.0,5.0
matt-spanger,Matt Spanger,P,7.0,11.0,1.0,9.0,8.0
matt-sykes,Matt Sykes,P,3.0,12.0,1.0,2.0,4.0
matt-vinc,Matt Vinc,G,,11.0,,,
