game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_USFL_2023_W1_PANTHERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,,,2.0,2.0,13.0,4.0
SYNTHETIC_USFL_2023_W5_PANTHERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,1.0,,1.0,1.0,23.0,3.0
SYNTHETIC_USFL_2023_W6_PANTHERS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,,,1.0,0.0,27.0,1.0
SYNTHETIC_USFL_2023_W11_PANTHERS,,2023,11,USFL,,,1.0,,,,31.0,1.0
2,2024-03-30,2024,1,UFL,PANTHERS,BATTLEHAWKS,,,,0.0,16.0,3.0
7,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,,,,1.0,20.0,0.0
11,2024-04-14,2024,3,UFL,PANTHERS,ROUGHNECKS,1.0,,,1.0,20.0,2.0
15,2024-04-20,2024,4,UFL,BRAHMAS,PANTHERS,,,,1.0,19.0,1.0
20,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,,,2.0,2.0,18.0,7.0
23,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,,,,0.0,27.0,1.0
27,2024-05-12,2024,7,UFL,DEFENDERS,PANTHERS,,,1.0,0.0,9.0,3.0
29,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,,,1.0,18.0,4.0
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,,,1.0,0.0,22.0,4.0
37,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,,,,0.0,20.0,5.0
41,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,,,2.0,31.0,4.0
45,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,,1.0,,2.0,12.0,3.0
47,2025-04-04,2025,2,UFL,PANTHERS,STALLIONS,,,,2.0,21.0,0.0
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,2.0,2.0,10.0,4.0
53,2025-04-13,2025,3,UFL,PANTHERS,BRAHMAS,,,,0.0,17.0,2.0
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,1.0,1.0,37.0,3.0
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,,0.0,23.0,1.0
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,,0.0,32.0,2.0
63,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,,,,0.0,14.0,1.0
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,,,0.0,24.0,3.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,,0.0,22.0,1.0
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,1.0,1.0,1.0,18.0,0.0
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,1.0,0.0,26.0,3.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,1.0,1.0,,0.0,20.0,0.0
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,1.0,2.0,24.0,2.0
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,,,0.0,32.0,8.0
