game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_UFL_2025_W2_PANTHERS,,2025,2,UFL,,,0.0,0.0,0.0,,
SYNTHETIC_UFL_2025_W3_PANTHERS,,2025,3,UFL,,,0.0,24.0,2.0,,
SYNTHETIC_UFL_2025_W4_PANTHERS,,2025,4,UFL,,,1.0,39.0,3.0,0.0,0.0
SYNTHETIC_UFL_2025_W5_PANTHERS,,2025,5,UFL,,,0.0,6.0,1.0,,
SYNTHETIC_UFL_2025_W6_PANTHERS,,2025,6,UFL,,,0.0,23.0,1.0,,
SYNTHETIC_UFL_2025_W7_PANTHERS,,2025,7,UFL,,,0.0,31.0,2.0,,
SYNTHETIC_UFL_2025_W8_PANTHERS,,2025,8,UFL,,,0.0,24.0,2.0,,
SYNTHETIC_UFL_2025_W9_PANTHERS,,2025,9,UFL,,,0.0,39.0,4.0,,
SYNTHETIC_UFL_2025_W10_PANTHERS,,2025,10,UFL,,,0.0,30.0,3.0,,
SYNTHETIC_UFL_2026_W1_COLUMBUSAVIATORS,,2026,1,UFL,,,0.0,22.0,1.0,,
SYNTHETIC_UFL_2026_W2_COLUMBUSAVIATORS,,2026,2,UFL,,,0.0,17.0,2.0,,
SYNTHETIC_UFL_2026_W3_COLUMBUSAVIATORS,,2026,3,UFL,,,0.0,8.0,2.0,0.0,7.0
SYNTHETIC_UFL_2026_W4_COLUMBUSAVIATORS,,2026,4,UFL,,,0.0,6.0,1.0,,
SYNTHETIC_UFL_2026_W5_COLUMBUSAVIATORS,,2026,5,UFL,,,0.0,8.0,2.0,,
SYNTHETIC_UFL_2026_W6_COLUMBUSAVIATORS,,2026,6,UFL,,,0.0,12.0,2.0,,
