game_id,date,season,week,league,away,home,extra_point,made_19,made_29,made_39,made_49,made_50,missed
SYNTHETIC_USFL_2022_W1_BHAM,,2022,1,USFL,,,4.0,,,,,,
SYNTHETIC_USFL_2022_W2_BHAM,,2022,2,USFL,,,3.0,0.0,0.0,2.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W3_BHAM,,2022,3,USFL,,,2.0,0.0,0.0,2.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W4_BHAM,,2022,4,USFL,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0
SYNTHETIC_USFL_2022_W5_BHAM,,2022,5,USFL,,,3.0,0.0,0.0,0.0,1.0,0.0,1.0
SYNTHETIC_USFL_2022_W6_BHAM,,2022,6,USFL,,,3.0,0.0,1.0,1.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W7_BHAM,,2022,7,USFL,,,2.0,0.0,1.0,1.0,2.0,0.0,0.0
SYNTHETIC_USFL_2022_W8_BHAM,,2022,8,USFL,,,1.0,0.0,1.0,0.0,0.0,0.0,2.0
SYNTHETIC_USFL_2022_W9_BHAM,,2022,9,USFL,,,,0.0,3.0,0.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W10_BHAM,,2022,10,USFL,,,3.0,,,,,,
SYNTHETIC_USFL_2022_W11_BHAM,,2022,11,USFL,,,4.0,0.0,0.0,1.0,0.0,0.0,1.0
