game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2024-07-13-IND-DET,2024-07-13,2024,12,UFA,alleycats,mechanix,2.0,1.0,,,0.0,1.0,,,,,2.0,103.0,273.0
2024-07-14-IND-PIT,2024-07-14,2024,12,UFA,alleycats,thunderbirds,2.0,1.0,,,0.0,1.0,,,,,1.0,155.0,199.0
2024-07-19-IND-MAD,2024-07-19,2024,13,UFA,alleycats,radicals,0.0,0.0,,,0.0,3.0,,,,,4.0,234.0,240.0
2025-04-26-ORE-COL,2025-04-26,2025,1,UFA,steel,summit,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-05-04-OAK-ORE,2025-05-04,2025,2,UFA,spiders,steel,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-05-17-SEA-ORE,2025-05-17,2025,4,UFA,cascades,steel,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-05-23-ORE-LV,2025-05-23,2025,5,UFA,steel,bighorns,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-05-24-ORE-COL,2025-05-24,2025,5,UFA,steel,summit,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-05-31-SLC-ORE,2025-05-31,2025,6,UFA,shred,steel,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-06-07-LV-ORE,2025-06-07,2025,7,UFA,bighorns,steel,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-06-13-ORE-SLC,2025-06-13,2025,8,UFA,steel,shred,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-06-14-ORE-OAK,2025-06-14,2025,8,UFA,steel,spiders,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-06-20-LA-ORE,2025-06-20,2025,9,UFA,aviators,steel,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-06-28-COL-ORE,2025-06-28,2025,10,UFA,summit,steel,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-07-19-ORE-SEA,2025-07-19,2025,13,UFA,steel,cascades,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
