game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-t20i-2024-04-21-1429009,2024-04-21,2024,1,T20I,Indonesia,Mongolia,4.0,0.0,0.0,10.0,1.0,0.0,12.0,0.0,0.0,15.0,0.0,0.0,,1.0
cricket-t20i-2024-04-21-1429010,2024-04-21,2024,1,T20I,Indonesia,Mongolia,3.0,0.0,1.0,10.0,0.0,0.0,12.0,0.0,0.0,26.0,1.0,6.0,,1.0
cricket-t20i-2024-04-22-1429012,2024-04-22,2024,1,T20I,Indonesia,Mongolia,13.0,0.0,0.0,10.0,1.0,0.0,23.0,0.0,0.0,37.0,0.0,6.0,,1.0
cricket-t20i-2024-04-24-1429013,2024-04-24,2024,1,T20I,Indonesia,Mongolia,5.0,0.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,26.0,0.0,12.0,,1.0
cricket-t20i-2024-11-07-1456860,2024-11-07,2024,1,T20I,Mongolia,China,23.0,0.0,0.0,6.0,5.0,0.0,,,,,,,,1.0
cricket-t20i-2024-11-08-1456859,2024-11-08,2024,1,T20I,Myanmar,Mongolia,15.0,0.0,0.0,5.0,6.0,0.0,12.0,0.0,2.0,12.0,0.0,2.0,,1.0
cricket-t20i-2024-11-09-1456863,2024-11-09,2024,1,T20I,Mongolia,Hong Kong,5.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,1.0
cricket-t20i-2024-11-10-1456864,2024-11-10,2024,1,T20I,Mongolia,Myanmar,4.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,1.0
cricket-t20i-2025-06-05-1485409,2025-06-05,2025,1,T20I,Mongolia,China,7.0,0.0,1.0,10.0,2.0,0.0,,,,,,,,1.0
cricket-t20i-2025-06-06-1485411,2025-06-06,2025,1,T20I,Philippines,Mongolia,,,,,,,12.0,0.0,7.0,28.0,0.0,8.0,,1.0
cricket-t20i-2025-06-07-1485413,2025-06-07,2025,1,T20I,Mongolia,Hong Kong,7.0,1.0,1.0,10.0,4.0,0.0,,,,,,,2.0,1.0
cricket-t20i-2025-06-08-1489041,2025-06-08,2025,1,T20I,Mongolia,Philippines,27.0,0.0,0.0,4.0,15.0,0.0,,,,,,,,1.0
