game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
cricket-t20i-2024-12-24-1464730,2024-12-24,2024,1,T20I,Singapore,Philippines,8.0,0.0,0.0,7.0,5.0,0.0,24.0,0.0,0.0,24.0,3.0,4.0,1.0
cricket-t20i-2024-12-26-1464731,2024-12-26,2024,1,T20I,Philippines,Singapore,7.0,0.0,0.0,5.0,1.0,0.0,18.0,0.0,0.0,12.0,2.0,3.0,1.0
cricket-t20i-2024-12-27-1464732,2024-12-27,2024,1,T20I,Singapore,Philippines,,,,,,,24.0,0.0,0.0,17.0,1.0,1.0,1.0
cricket-t20i-2025-04-10-1477680,2025-04-10,2025,1,T20I,Indonesia,Philippines,9.0,0.0,0.0,5.0,4.0,0.0,24.0,0.0,0.0,22.0,1.0,1.0,1.0
cricket-t20i-2025-04-11-1477681,2025-04-11,2025,1,T20I,Cook Islands,Philippines,,,,,,,24.0,0.0,0.0,18.0,1.0,1.0,1.0
cricket-t20i-2025-06-04-1485407,2025-06-04,2025,1,T20I,Philippines,China,10.0,0.0,0.0,5.0,5.0,0.0,24.0,0.0,1.0,11.0,3.0,3.0,1.0
cricket-t20i-2025-06-06-1485411,2025-06-06,2025,1,T20I,Philippines,Mongolia,2.0,1.0,0.0,5.0,4.0,0.0,18.0,2.0,0.0,4.0,3.0,1.0,1.0
cricket-t20i-2025-06-07-1485412,2025-06-07,2025,1,T20I,Japan,Philippines,2.0,0.0,0.0,5.0,0.0,0.0,24.0,0.0,0.0,18.0,1.0,2.0,1.0
cricket-t20i-2025-06-08-1485414,2025-06-08,2025,1,T20I,Philippines,China,25.0,1.0,1.0,5.0,16.0,0.0,24.0,0.0,1.0,29.0,1.0,5.0,1.0
cricket-t20i-2025-09-09-1499787,2025-09-09,2025,1,T20I,Philippines,Samoa,10.0,3.0,0.0,5.0,15.0,0.0,18.0,0.0,1.0,23.0,1.0,0.0,1.0
cricket-t20i-2025-09-10-1499790,2025-09-10,2025,1,T20I,Papua New Guinea,Philippines,29.0,3.0,0.0,4.0,19.0,0.0,24.0,0.0,0.0,34.0,0.0,2.0,1.0
cricket-t20i-2025-09-13-1499797,2025-09-13,2025,1,T20I,Philippines,Fiji,7.0,1.0,0.0,2.0,4.0,0.0,18.0,0.0,0.0,28.0,0.0,1.0,1.0
cricket-t20i-2025-09-15-1499801,2025-09-15,2025,1,T20I,Cook Islands,Philippines,35.0,3.0,0.0,3.0,22.0,0.0,24.0,0.0,0.0,17.0,3.0,3.0,1.0
cricket-t20i-2025-12-16-1513757,2025-12-16,2025,1,T20I,Indonesia,Philippines,40.0,2.0,0.0,4.0,18.0,0.0,24.0,0.0,0.0,32.0,1.0,2.0,1.0
cricket-t20i-2025-12-17-1513759,2025-12-17,2025,1,T20I,Philippines,Malaysia,19.0,0.0,0.0,4.0,7.0,0.0,8.0,0.0,0.0,8.0,0.0,3.0,1.0
