game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_10_13_SSK@WPG,2018-10-13,2018,1,CFL,SSK,WPG,1.0,1.0,,,1.0,,,,,,8.0,17.0,,50.0,,,
FOOTBALL_CFL_2018_10_20_SSK@CGY,2018-10-20,2018,1,CFL,SSK,CGY,,,,,,,,,,,7.0,5.0,1.0,23.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,,,,,,,,,7.0,,1.0,28.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,,,5.0,2.0,3.0,3.0,6.0,,,,10.0,5.0,,20.0,,,
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,,,7.0,1.0,1.0,6.0,7.0,,,,5.0,15.0,,37.0,,,
FOOTBALL_CFL_2018_6_21_SSK@OTT,2018-06-21,2018,1,CFL,SSK,OTT,,,,,,,,,,,7.0,16.0,,33.0,,,
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,2.0,2.0,16.0,2.0,2.0,20.0,25.0,,,,7.0,7.0,,19.0,,,
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,,,-1.0,1.0,1.0,-2.0,-1.0,,,,7.0,30.0,,51.0,,,
FOOTBALL_CFL_2018_7_28_CGY@SSK,2018-07-28,2018,1,CFL,CGY,SSK,,,,,,,,19.0,3.0,43.0,6.0,18.0,,37.0,,,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,,,,,,,,,,,3.0,5.0,,12.0,,,
FOOTBALL_CFL_2018_8_19_CGY@SSK,2018-08-19,2018,1,CFL,CGY,SSK,,,6.0,3.0,5.0,1.0,1.0,,,,12.0,19.0,,55.0,,,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,,,-4.0,1.0,1.0,-4.0,-4.0,,,,11.0,9.0,,57.0,,,
FOOTBALL_CFL_2018_8_2_SSK@EDM,2018-08-02,2018,1,CFL,SSK,EDM,,,13.0,7.0,9.0,40.0,47.0,15.0,1.0,15.0,7.0,42.0,,62.0,,,
FOOTBALL_CFL_2018_9_15_OTT@SSK,2018-09-15,2018,1,CFL,OTT,SSK,,,,,,,,,,,14.0,16.0,,68.0,,,
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,,,6.0,1.0,1.0,4.0,6.0,,,,8.0,12.0,,19.0,,,
FOOTBALL_CFL_2018_9_2_WPG@SSK,2018-09-02,2018,1,CFL,WPG,SSK,,,,,,,,,,,8.0,11.0,,35.0,,,
FOOTBALL_CFL_2018_9_30_SSK@MTL,2018-09-30,2018,1,CFL,SSK,MTL,1.0,1.0,3.0,1.0,1.0,1.0,3.0,,,,13.0,,1.0,86.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_8_SSK@WPG,2018-09-08,2018,1,CFL,SSK,WPG,,,13.0,2.0,2.0,13.0,13.0,,,,20.0,13.0,,117.0,,,
