game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-06-04-OAK-COL,2023-06-04,2023,6,AUDL,OAKLAND SPIDERS,COLORADO SUMMIT,1.0,,7.0,5.0,1.0,1.0,,6.0,1.0,61.0,25.0
2023-07-08-POR-OAK,2023-07-08,2023,11,AUDL,PORTLAND NITRO,OAKLAND SPIDERS,2.0,1.0,16.0,14.0,,1.0,1.0,16.0,,132.0,117.0
2023-07-15-LA-OAK,2023-07-15,2023,12,AUDL,LA AVIATORS,OAKLAND SPIDERS,,,4.0,2.0,,2.0,,2.0,,44.0,34.0
2024-04-27-LA-OAK,2024-04-27,2024,1,UFA,aviators,spiders,1.0,0.0,,,0.0,4.0,,,0.0,182.0,117.0
2024-05-03-SEA-OAK,2024-05-03,2024,2,UFA,cascades,spiders,0.0,0.0,,,0.0,1.0,,,0.0,52.0,16.0
2024-05-10-OAK-POR,2024-05-10,2024,3,UFA,spiders,nitro,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-05-11-OAK-SEA,2024-05-11,2024,3,UFA,spiders,cascades,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-05-17-SLC-OAK,2024-05-17,2024,4,UFA,shred,spiders,2.0,0.0,,,0.0,1.0,,,2.0,299.0,66.0
2024-06-07-COL-OAK,2024-06-07,2024,7,UFA,summit,spiders,1.0,1.0,,,1.0,1.0,,,1.0,110.0,41.0
2024-06-22-SD-OAK,2024-06-22,2024,9,UFA,growlers,spiders,2.0,0.0,,,0.0,2.0,,,0.0,211.0,155.0
2024-06-29-OAK-SD,2024-06-29,2024,10,UFA,spiders,growlers,1.0,0.0,,,0.0,1.0,,,0.0,1.0,73.0
2024-06-30-OAK-LA,2024-06-30,2024,10,UFA,spiders,aviators,1.0,1.0,,,0.0,0.0,,,1.0,-12.0,69.0
2024-07-06-POR-OAK,2024-07-06,2024,11,UFA,nitro,spiders,1.0,0.0,,,0.0,0.0,,,0.0,150.0,116.0
2024-07-20-OAK-SD,2024-07-20,2024,13,UFA,spiders,growlers,1.0,0.0,,,0.0,4.0,,,0.0,195.0,37.0
2024-07-21-OAK-LA,2024-07-21,2024,13,UFA,spiders,aviators,2.0,1.0,,,0.0,3.0,,,0.0,232.0,166.0
2025-04-24-NY-OAK,2025-04-24,2025,1,UFA,empire,spiders,1.0,0.0,,,0.0,0.0,,,0.0,96.0,11.0
2025-05-03-OAK-SEA,2025-05-03,2025,2,UFA,spiders,cascades,0.0,0.0,,,0.0,0.0,,,1.0,109.0,58.0
2025-05-04-OAK-ORE,2025-05-04,2025,2,UFA,spiders,steel,2.0,0.0,,,0.0,1.0,,,1.0,144.0,76.0
2025-05-09-SEA-OAK,2025-05-09,2025,3,UFA,cascades,spiders,2.0,0.0,,,0.0,0.0,,,0.0,126.0,37.0
2025-05-24-SEA-OAK,2025-05-24,2025,5,UFA,cascades,spiders,1.0,0.0,,,0.0,3.0,,,2.0,208.0,58.0
2025-05-30-OAK-COL,2025-05-30,2025,6,UFA,spiders,summit,2.0,0.0,,,0.0,1.0,,,1.0,148.0,44.0
2025-06-06-SLC-OAK,2025-06-06,2025,7,UFA,shred,spiders,1.0,2.0,,,0.0,4.0,,,1.0,281.0,74.0
2025-06-14-ORE-OAK,2025-06-14,2025,8,UFA,steel,spiders,4.0,0.0,,,0.0,2.0,,,0.0,214.0,124.0
2025-06-21-LV-OAK,2025-06-21,2025,9,UFA,bighorns,spiders,2.0,1.0,,,0.0,1.0,,,2.0,228.0,50.0
2025-06-27-OAK-SLC,2025-06-27,2025,10,UFA,spiders,shred,0.0,1.0,,,0.0,2.0,,,1.0,165.0,68.0
2025-06-28-OAK-SD,2025-06-28,2025,10,UFA,spiders,growlers,0.0,0.0,,,0.0,2.0,,,1.0,114.0,5.0
2025-07-19-SD-OAK,2025-07-19,2025,13,UFA,growlers,spiders,2.0,0.0,,,0.0,1.0,,,0.0,115.0,69.0
2026-04-26-ORE-OAK,2026-04-26,2026,1,UFA,steel,spiders,2.0,2.0,,,0.0,4.0,,,0.0,127.0,40.0
