game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-06-04-OAK-COL,2023-06-04,2023,6,AUDL,OAKLAND SPIDERS,COLORADO SUMMIT,,1.0,1.0,1.0,,,,1.0,,7.0,2.0
2023-06-09-SLC-COL,2023-06-09,2023,7,AUDL,SALT LAKE SHRED,COLORADO SUMMIT,,,1.0,1.0,,,,1.0,,21.0,-8.0
2023-06-24-MIN-COL,2023-06-24,2023,9,AUDL,MINNESOTA WIND CHILL,COLORADO SUMMIT,,2.0,6.0,5.0,,1.0,,6.0,1.0,42.0,25.0
2023-06-30-COL-POR,2023-06-30,2023,10,AUDL,COLORADO SUMMIT,PORTLAND NITRO,,2.0,2.0,1.0,,,0.0,2.0,,5.0,12.0
2023-07-01-COL-SEA,2023-07-01,2023,10,AUDL,COLORADO SUMMIT,SEATTLE CASCADES,,,,,,,,,1.0,,
2023-07-14-NY-COL,2023-07-14,2023,12,AUDL,NEW YORK EMPIRE,COLORADO SUMMIT,,,3.0,3.0,,,1.0,3.0,,76.0,2.0
2024-05-04-SEA-COL,2024-05-04,2024,2,UFA,cascades,summit,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-05-18-SLC-COL,2024-05-18,2024,4,UFA,shred,summit,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-05-31-ATL-COL,2024-05-31,2024,6,UFA,hustle,summit,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-06-07-COL-OAK,2024-06-07,2024,7,UFA,summit,spiders,1.0,0.0,,,0.0,2.0,,,1.0,97.0,88.0
2024-06-08-COL-SLC,2024-06-08,2024,7,UFA,summit,shred,0.0,0.0,,,0.0,1.0,,,1.0,122.0,93.0
2024-06-14-COL-MAD,2024-06-14,2024,8,UFA,summit,radicals,0.0,0.0,,,1.0,0.0,,,1.0,79.0,157.0
2024-06-15-COL-MIN,2024-06-15,2024,8,UFA,summit,windchill,0.0,1.0,,,0.0,0.0,,,0.0,-49.0,72.0
2024-06-21-SD-COL,2024-06-21,2024,9,UFA,growlers,summit,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2024-06-29-COL-SEA,2024-06-29,2024,10,UFA,summit,cascades,0.0,1.0,,,0.0,1.0,,,1.0,98.0,41.0
2024-06-30-COL-POR,2024-06-30,2024,10,UFA,summit,nitro,1.0,0.0,,,0.0,0.0,,,0.0,47.0,20.0
2024-07-06-IND-COL,2024-07-06,2024,11,UFA,alleycats,summit,0.0,0.0,,,0.0,1.0,,,1.0,88.0,-10.0
2024-07-12-LA-COL,2024-07-12,2024,12,UFA,aviators,summit,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2026-05-02-COL-SEA,2026-05-02,2026,2,UFA,apex,cascades,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2026-05-03-COL-ORE,2026-05-03,2026,2,UFA,apex,steel,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2026-05-09-SLC-COL,2026-05-09,2026,3,UFA,shred,apex,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2026-05-15-COL-DC,2026-05-15,2026,4,UFA,apex,breeze,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
