game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-t20i-2024-12-24-1464730,2024-12-24,2024,1,T20I,Singapore,Philippines,4.0,0.0,1.0,9.0,1.0,0.0,,,,,,,1.0,1.0
cricket-t20i-2025-04-10-1477680,2025-04-10,2025,1,T20I,Indonesia,Philippines,6.0,0.0,0.0,11.0,0.0,0.0,,,,,,,,1.0
cricket-t20i-2025-04-11-1477681,2025-04-11,2025,1,T20I,Cook Islands,Philippines,5.0,0.0,0.0,8.0,1.0,0.0,,,,,,,,1.0
cricket-t20i-2025-06-06-1485411,2025-06-06,2025,1,T20I,Philippines,Mongolia,12.0,0.0,1.0,7.0,5.0,0.0,12.0,0.0,0.0,5.0,0.0,2.0,,1.0
cricket-t20i-2025-06-07-1485412,2025-06-07,2025,1,T20I,Japan,Philippines,3.0,0.0,0.0,7.0,0.0,0.0,,,,,,,,1.0
cricket-t20i-2025-06-08-1485414,2025-06-08,2025,1,T20I,Philippines,China,1.0,0.0,0.0,7.0,0.0,0.0,,,,,,,,1.0
cricket-t20i-2025-06-08-1489041,2025-06-08,2025,1,T20I,Mongolia,Philippines,,,,,,,24.0,0.0,1.0,21.0,4.0,7.0,,1.0
cricket-t20i-2025-09-09-1499787,2025-09-09,2025,1,T20I,Philippines,Samoa,4.0,0.0,1.0,9.0,0.0,0.0,,,,,,,1.0,1.0
cricket-t20i-2025-09-10-1499790,2025-09-10,2025,1,T20I,Papua New Guinea,Philippines,17.0,1.0,0.0,7.0,9.0,0.0,,,,,,,,1.0
cricket-t20i-2025-09-13-1499797,2025-09-13,2025,1,T20I,Philippines,Fiji,9.0,0.0,0.0,7.0,2.0,0.0,,,,,,,,1.0
cricket-t20i-2025-09-15-1499801,2025-09-15,2025,1,T20I,Cook Islands,Philippines,17.0,0.0,1.0,7.0,10.0,0.0,,,,,,,,1.0
cricket-t20i-2025-12-16-1513757,2025-12-16,2025,1,T20I,Indonesia,Philippines,3.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,18.0,0.0,1.0,,1.0
cricket-t20i-2025-12-17-1513759,2025-12-17,2025,1,T20I,Philippines,Malaysia,6.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,1.0
