game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,rushing_tds,rushing_yards,sacks,tackles
9889295,2023-06-30,2023,4,CFL,EDM,OTT,,,,,0.0,7.0,,
9889300,2023-07-08,2023,5,CFL,OTT,HAM,2.0,,0.0,149.0,1.0,91.0,,
9889304,2023-07-15,2023,6,CFL,WPG,OTT,1.0,,0.0,261.0,2.0,74.0,,
9889309,2023-07-23,2023,7,CFL,OTT,CGY,0.0,,2.0,254.0,0.0,63.0,,
9889310,2023-07-28,2023,8,CFL,HAM,OTT,1.0,,0.0,158.0,0.0,82.0,,
9889317,2023-08-06,2023,9,CFL,OTT,SSK,0.0,,0.0,174.0,0.0,21.0,,
9889321,2023-08-13,2023,10,CFL,OTT,TOR,0.0,,3.0,292.0,0.0,42.0,,
9889324,2023-08-19,2023,11,CFL,MTL,OTT,1.0,,0.0,130.0,1.0,42.0,,
9889329,2023-08-27,2023,12,CFL,OTT,EDM,0.0,,0.0,172.0,0.0,28.0,,
9889334,2023-09-08,2023,14,CFL,HAM,OTT,1.0,,0.0,265.0,1.0,42.0,,
9889341,2023-09-16,2023,15,CFL,OTT,BC,1.0,0.0,0.0,233.0,3.0,46.0,0.0,1.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,0.0,,2.0,243.0,1.0,53.0,,
9889348,2023-09-30,2023,17,CFL,MTL,OTT,2.0,,0.0,247.0,0.0,35.0,,
9889353,2023-10-09,2023,18,CFL,OTT,MTL,0.0,,0.0,72.0,,,,
9889357,2023-10-14,2023,19,CFL,OTT,TOR,1.0,,1.0,183.0,0.0,13.0,,
9889363,2023-10-28,2023,21,CFL,TOR,OTT,2.0,,2.0,273.0,0.0,73.0,,
10798143,2024-05-25,2024,2,CFL,OTT,HAM,,,,,1.0,2.0,,
10798031,2024-06-30,2024,4,CFL,HAM,OTT,,,,,1.0,2.0,,
10798033,2024-07-05,2024,5,CFL,OTT,WPG,1.0,,0.0,102.0,0.0,55.0,,
10798039,2024-07-14,2024,6,CFL,OTT,EDM,0.0,,0.0,18.0,1.0,6.0,,
10798040,2024-07-19,2024,7,CFL,EDM,OTT,,,,,0.0,1.0,,
10798045,2024-07-26,2024,8,CFL,CGY,OTT,,,,,1.0,1.0,,
10798052,2024-08-08,2024,10,CFL,SSK,OTT,1.0,,0.0,211.0,1.0,72.0,,
10798056,2024-08-15,2024,11,CFL,OTT,CGY,,,,,1.0,1.0,,
10798062,2024-08-24,2024,12,CFL,BC,OTT,,,,,1.0,3.0,,
10798064,2024-08-31,2024,13,CFL,OTT,BC,,,,,0.0,2.0,,
10798069,2024-09-07,2024,14,CFL,TOR,OTT,,,,,0.0,1.0,,
10798073,2024-09-14,2024,15,CFL,OTT,HAM,,,,,0.0,1.0,,
10798081,2024-09-28,2024,17,CFL,OTT,SSK,,,,,0.0,4.0,,
10798089,2024-10-14,2024,19,CFL,OTT,MTL,0.0,,0.0,7.0,0.0,13.0,,
10798093,2024-10-25,2024,21,CFL,HAM,OTT,,,,,0.0,42.0,,
11824045,2025-06-05,2025,1,CFL,OTT,SSK,0.0,,0.0,23.0,1.0,3.0,,
11824050,2025-06-13,2025,2,CFL,MTL,OTT,0.0,,0.0,5.0,1.0,0.0,,
11824055,2025-06-21,2025,3,CFL,OTT,CGY,0.0,,1.0,111.0,0.0,64.0,,
11824060,2025-06-29,2025,4,CFL,TOR,OTT,1.0,,0.0,235.0,1.0,60.0,,
11824071,2025-07-20,2025,7,CFL,HAM,OTT,1.0,,0.0,149.0,0.0,43.0,,
11824076,2025-07-31,2025,9,CFL,CGY,OTT,,,,,1.0,7.0,,
11824082,2025-08-09,2025,10,CFL,OTT,TOR,,,,,1.0,1.0,,
11824084,2025-08-14,2025,11,CFL,OTT,WPG,0.0,,1.0,125.0,1.0,21.0,,
11824089,2025-08-22,2025,12,CFL,EDM,OTT,0.0,,1.0,277.0,1.0,59.0,,
11824095,2025-09-05,2025,14,CFL,BC,OTT,0.0,,1.0,301.0,2.0,69.0,,
11824100,2025-09-12,2025,15,CFL,OTT,BC,0.0,,1.0,307.0,2.0,58.0,,
11824111,2025-10-03,2025,18,CFL,SSK,OTT,0.0,,1.0,99.0,0.0,8.0,,
11824117,2025-10-13,2025,19,CFL,OTT,MTL,0.0,,0.0,162.0,0.0,36.0,,
