game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_2022_W7_SSK,2022-07-24,2022,7,CFL,TOR,SSK,1.0,,1.0,131.0,0.0,12.0,,
SYNTHETIC_CFL_2022_W14_SSK,2022-09-10,2022,14,CFL,SSK,WPG,1.0,,0.0,23.0,,,,
SYNTHETIC_CFL_2023_W7_SSK,2023-07-22,2023,7,CFL,SSK,BC,,,,,0.0,2.0,,
SYNTHETIC_CFL_2023_W8_SSK,2023-07-29,2023,8,CFL,SSK,TOR,0.0,,1.0,100.0,0.0,5.0,,
SYNTHETIC_CFL_2023_W9_SSK,2023-08-06,2023,9,CFL,OTT,SSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTHETIC_CFL_2023_W10_SSK,2023-08-11,2023,10,CFL,SSK,MTL,1.0,,0.0,107.0,1.0,4.0,,
SYNTHETIC_CFL_2023_W11_SSK,2023-08-20,2023,11,CFL,BC,SSK,0.0,,3.0,239.0,0.0,27.0,,
SYNTHETIC_CFL_2023_W13_SSK,2023-09-03,2023,13,CFL,WPG,SSK,0.0,,0.0,326.0,0.0,19.0,,
SYNTHETIC_CFL_2023_W14_SSK,2023-09-09,2023,14,CFL,SSK,WPG,0.0,0.0,0.0,113.0,0.0,3.0,0.0,1.0
SYNTHETIC_CFL_2023_W15_SSK,2023-09-15,2023,15,CFL,EDM,SSK,1.0,,3.0,213.0,,,,
SYNTHETIC_CFL_2023_W16_SSK,2023-09-22,2023,16,CFL,SSK,OTT,2.0,,2.0,279.0,0.0,8.0,,
SYNTHETIC_CFL_2023_W17_SSK,2023-09-29,2023,17,CFL,SSK,BC,2.0,,0.0,409.0,0.0,4.0,,
SYNTHETIC_CFL_2023_W18_SSK,2023-10-07,2023,18,CFL,HAM,SSK,0.0,0.0,0.0,154.0,0.0,1.0,0.0,1.0
SYNTHETIC_CFL_2023_W19_SSK,2023-10-13,2023,19,CFL,SSK,CGY,1.0,,0.0,272.0,0.0,22.0,,
SYNTHETIC_CFL_2023_W20_SSK,2023-10-21,2023,20,CFL,TOR,SSK,2.0,0.0,2.0,429.0,0.0,1.0,0.0,1.0
SYNTHETIC_CFL_2024_W9_BC,2024-08-01,2024,9,CFL,BC,WPG,0.0,,0.0,12.0,,,,
SYNTHETIC_CFL_2024_W10_BC,2024-08-11,2024,10,CFL,BC,EDM,0.0,,0.0,146.0,0.0,5.0,,
