game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2022-10-10-1333931,2022-10-10,2022,1,T20I,Japan,Indonesia,,,,,,,12.0,0.0,0.0,9.0,1.0,0.0,,,1.0
cricket-t20i-2022-10-11-1333932,2022-10-11,2022,1,T20I,Japan,Indonesia,31.0,3.0,0.0,3.0,26.0,0.0,18.0,0.0,0.0,14.0,2.0,2.0,,,1.0
cricket-t20i-2022-10-15-1336952,2022-10-15,2022,1,T20I,Japan,South Korea,3.0,1.0,0.0,8.0,11.0,1.0,12.0,0.0,0.0,23.0,1.0,0.0,,,1.0
cricket-t20i-2022-10-16-1336953,2022-10-16,2022,1,T20I,Indonesia,Japan,3.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,1.0,,,1.0
cricket-t20i-2022-10-18-1336955,2022-10-18,2022,1,T20I,Japan,Indonesia,11.0,0.0,0.0,4.0,5.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,,,1.0
cricket-t20i-2023-07-22-1383089,2023-07-22,2023,1,T20I,Japan,Philippines,13.0,1.0,0.0,6.0,31.0,3.0,18.0,0.0,0.0,25.0,0.0,0.0,,,1.0
cricket-t20i-2023-07-23-1383091,2023-07-23,2023,1,T20I,Japan,Vanuatu,20.0,1.0,0.0,5.0,20.0,1.0,18.0,0.0,0.0,10.0,1.0,0.0,,,1.0
cricket-t20i-2023-07-25-1383094,2023-07-25,2023,1,T20I,Japan,Papua New Guinea,9.0,0.0,0.0,5.0,1.0,0.0,24.0,0.0,0.0,20.0,1.0,0.0,,,1.0
cricket-t20i-2023-07-26-1383096,2023-07-26,2023,1,T20I,Japan,Philippines,13.0,2.0,0.0,4.0,19.0,0.0,18.0,0.0,0.0,15.0,1.0,0.0,,,1.0
cricket-t20i-2023-07-28-1383097,2023-07-28,2023,1,T20I,Japan,Vanuatu,8.0,1.0,0.0,3.0,6.0,0.0,18.0,0.0,0.0,17.0,1.0,2.0,1.0,,1.0
cricket-t20i-2023-07-29-1383100,2023-07-29,2023,1,T20I,Japan,Papua New Guinea,1.0,0.0,0.0,4.0,0.0,0.0,15.0,0.0,0.0,23.0,1.0,0.0,,,1.0
cricket-t20i-2024-02-02-1418183,2024-02-02,2024,1,T20I,Japan,Thailand,18.0,5.0,0.0,6.0,25.0,0.0,24.0,0.0,0.0,10.0,3.0,1.0,,,1.0
