game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_STALLIONS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,,,1.0,,2.0,228.0,1.0,52.0
SYNTHETIC_USFL_2023_W2_STALLIONS,2023-04-22,2023,2,USFL,STALLIONS,SHOWBOATS,,,0.0,,4.0,302.0,0.0,0.0
SYNTHETIC_USFL_2023_W3_STALLIONS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,,1.0,,2.0,238.0,0.0,7.0
SYNTHETIC_USFL_2023_W4_STALLIONS,2023-05-07,2023,4,USFL,MAULERS,STALLIONS,,,2.0,,1.0,157.0,1.0,47.0
SYNTHETIC_USFL_2023_W5_STALLIONS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,,,,,2.0,209.0,0.0,71.0
SYNTHETIC_USFL_2023_W6_STALLIONS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,,,0.0,,2.0,133.0,1.0,82.0
SYNTHETIC_USFL_2023_W7_STALLIONS,2023-05-27,2023,7,USFL,BREAKERS,STALLIONS,,,0.0,,1.0,176.0,1.0,22.0
SYNTHETIC_USFL_2023_W8_STALLIONS,2023-06-03,2023,8,USFL,STALLIONS,STARS,,,0.0,1.0,3.0,333.0,0.0,19.0
SYNTHETIC_USFL_2023_W9_STALLIONS,2023-06-11,2023,9,USFL,GAMBLERS,STALLIONS,,,1.0,1.0,2.0,208.0,1.0,34.0
SYNTHETIC_USFL_2023_W10_STALLIONS,2023-06-17,2023,10,USFL,SHOWBOATS,STALLIONS,,,1.0,,2.0,282.0,0.0,32.0
SYNTHETIC_USFL_2023_W11_STALLIONS,,2023,11,USFL,,,,,,,4.0,310.0,1.0,84.0
SYNTHETIC_USFL_2023_W12_STALLIONS,,2023,12,USFL,,,,,,1.0,4.0,243.0,,64.0
SYNTHETIC_UFL_2024_W1_STALLIONS,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,3.0,2.0,,1.0,227.0,0.0,77.0
SYNTHETIC_UFL_2024_W2_STALLIONS,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,,1.0,1.0,,0.0,141.0,0.0,94.0
SYNTHETIC_UFL_2024_W3_STALLIONS,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,,0.0,1.0,2.0,334.0,1.0,44.0
SYNTHETIC_UFL_2024_W4_STALLIONS,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,,,0.0,1.0,1.0,240.0,0.0,54.0
SYNTHETIC_UFL_2024_W5_STALLIONS,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,1.0,0.0,,1.0,155.0,0.0,138.0
SYNTHETIC_UFL_2024_W6_STALLIONS,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,3.0,0.0,,4.0,368.0,0.0,25.0
SYNTHETIC_UFL_2024_W7_STALLIONS,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,1.0,,0.0,,3.0,230.0,0.0,60.0
SYNTHETIC_UFL_2024_W8_STALLIONS,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,,1.0,,3.0,173.0,2.0,44.0
SYNTHETIC_UFL_2024_W9_STALLIONS,2024-05-25,2024,9,UFL,BRAHMAS,STALLIONS,,,1.0,,1.0,211.0,0.0,56.0
SYNTHETIC_UFL_2024_W10_STALLIONS,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,2.0,,0.0,,1.0,163.0,0.0,41.0
SYNTHETIC_UFL_2024_W11_STALLIONS,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,,2.0,,3.0,284.0,0.0,10.0
SYNTHETIC_UFL_2024_W12_STALLIONS,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,,,0.0,,1.0,98.0,2.0,52.0
SYNTHETIC_UFL_2025_W1_STALLIONS,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,1.0,1.0,,1.0,89.0,0.0,84.0
SYNTHETIC_UFL_2025_W2_STALLIONS,2025-04-04,2025,2,UFL,PANTHERS,STALLIONS,,,2.0,,1.0,198.0,0.0,16.0
SYNTHETIC_UFL_2025_W3_STALLIONS,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,1.0,,1.0,,1.0,255.0,0.0,24.0
SYNTHETIC_UFL_2025_W4_STALLIONS,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,1.0,1.0,,2.0,231.0,0.0,51.0
SYNTHETIC_UFL_2025_W5_STALLIONS,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,1.0,1.0,,2.0,145.0,0.0,83.0
SYNTHETIC_UFL_2025_W6_STALLIONS,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,1.0,0.0,1.0,2.0,245.0,0.0,26.0
SYNTHETIC_UFL_2025_W7_STALLIONS,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,1.0,,1.0,262.0,1.0,45.0
