game_id,date,season,week,league,away,home,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
2024-04-26-DAL-HTX,2024-04-26,2024,1,UFA,legion,havoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11-ATX-DAL,2024-05-11,2024,3,UFA,sol,legion,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18-HTX-DAL,2024-05-18,2024,4,UFA,havoc,legion,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01-CAR-DAL,2024-06-01,2024,6,UFA,flyers,legion,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-08-HTX-DAL,2024-06-08,2024,7,UFA,havoc,legion,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15-DAL-ATX,2024-06-15,2024,8,UFA,legion,sol,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21-ATX-DAL,2024-06-21,2024,9,UFA,sol,legion,1.0,0.0,0.0,1.0,0.0,52.0,36.0
2024-06-22-DAL-HTX,2024-06-22,2024,9,UFA,legion,havoc,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-07-05-DAL-HTX,2024-07-05,2024,11,UFA,legion,havoc,0.0,1.0,0.0,2.0,2.0,79.0,9.0
2024-07-12-DAL-CAR,2024-07-12,2024,12,UFA,legion,flyers,0.0,0.0,0.0,0.0,1.0,18.0,21.0
2024-07-13-DAL-ATL,2024-07-13,2024,12,UFA,legion,hustle,3.0,0.0,0.0,0.0,0.0,51.0,77.0
2024-07-20-ATX-DAL,2024-07-20,2024,13,UFA,sol,legion,0.0,1.0,0.0,0.0,0.0,0.0,11.0
2025-04-26-SLC-ATL,2025-04-26,2025,1,UFA,shred,hustle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-09-ATL-SD,2025-05-09,2025,3,UFA,hustle,growlers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-10-ATL-LA,2025-05-10,2025,3,UFA,hustle,aviators,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-03-CAR-ATL,2025-05-17,2025,4,UFA,flyers,hustle,0.0,1.0,0.0,0.0,0.0,2.0,0.0
2025-05-17-CAR-ATL,2025-05-17,2025,4,UFA,flyers,hustle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-24-SD-ATL,2025-05-24,2025,5,UFA,growlers,hustle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-30-ATL-MIN,2025-05-30,2025,6,UFA,hustle,windchill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-31-ATL-CHI,2025-05-31,2025,6,UFA,hustle,union,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-06-07-ATL-CAR,2025-06-07,2025,7,UFA,hustle,flyers,0.0,0.0,0.0,0.0,0.0,12.0,19.0
2025-06-21-HTX-ATL,2025-06-21,2025,9,UFA,havoc,hustle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-27-ATX-ATL,2025-06-27,2025,10,UFA,sol,hustle,0.0,0.0,0.0,1.0,0.0,24.0,0.0
2025-07-12-ATL-CAR,2025-07-12,2025,12,UFA,hustle,flyers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-24-ATL-HTX,2026-04-24,2026,1,UFA,hustle,havoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-25-ATL-ATX,2026-04-25,2026,1,UFA,hustle,sol,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08-ATL-LV,2026-05-08,2026,3,UFA,hustle,bighorns,0.0,0.0,0.0,4.0,0.0,103.0,36.0
2026-05-09-ATL-SD,2026-05-09,2026,3,UFA,hustle,growlers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-16-CAR-ATL,2026-05-16,2026,4,UFA,flyers,hustle,1.0,0.0,0.0,0.0,0.0,12.0,27.0
2026-05-23-ATL-CAR,2026-05-23,2026,5,UFA,hustle,flyers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
