game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_W7_TOR,,,7,CFL,,,,0.0,5.0,1.0,,,,
SYNTHETIC_CFL_W10_TOR,,,10,CFL,,,,0.0,8.0,1.0,,,,
SYNTHETIC_CFL_W17_TOR,,,17,CFL,,,,0.0,7.0,1.0,,,,
SYNTHETIC_CFL_2023_W2_TOR,,2023,2,CFL,,,,,7.0,1.0,,,,
SYNTHETIC_CFL_2023_W3_TOR,,2023,3,CFL,,,,0.0,63.0,4.0,,,,
SYNTHETIC_CFL_2023_W4_TOR,,2023,4,CFL,,,,0.0,54.0,3.0,,,,
SYNTHETIC_CFL_2023_W6_TOR,,2023,6,CFL,,,,0.0,22.0,1.0,,,,
SYNTHETIC_CFL_2023_W7_TOR,,2023,7,CFL,,,,0.0,50.0,1.0,,,,
SYNTHETIC_CFL_2023_W8_TOR,,2023,8,CFL,,,,1.0,5.0,2.0,,,,
SYNTHETIC_CFL_2023_W9_TOR,,2023,9,CFL,,,,0.0,39.0,1.0,,,,
SYNTHETIC_CFL_2023_W10_TOR,,2023,10,CFL,,,,0.0,28.0,2.0,,,,
SYNTHETIC_CFL_2023_W12_TOR,,2023,12,CFL,,,0.0,0.0,15.0,1.0,,,0.0,0.0
SYNTHETIC_CFL_2023_W13_TOR,,2023,13,CFL,,,0.0,1.0,38.0,2.0,,,0.0,0.0
SYNTHETIC_CFL_2023_W14_TOR,,2023,14,CFL,,,0.0,0.0,0.0,0.0,,,0.0,0.0
SYNTHETIC_CFL_2023_W15_TOR,,2023,15,CFL,,,,0.0,35.0,2.0,,,,
SYNTHETIC_CFL_2023_W16_TOR,,2023,16,CFL,,,,2.0,98.0,6.0,,,,
SYNTHETIC_CFL_2023_W17_TOR,,2023,17,CFL,,,,0.0,33.0,4.0,,,,
SYNTHETIC_CFL_2023_W19_TOR,,2023,19,CFL,,,,0.0,29.0,2.0,,,,
SYNTHETIC_CFL_2023_W20_TOR,,2023,20,CFL,,,0.0,0.0,56.0,6.0,,,0.0,1.0
SYNTHETIC_CFL_2023_W21_TOR,,2023,21,CFL,,,,1.0,61.0,1.0,,,,
SYNTHETIC_CFL_2024_W1_TOR,,2024,1,CFL,,,,1.0,52.0,3.0,,,,
SYNTHETIC_CFL_2024_W3_TOR,,2024,3,CFL,,,,0.0,20.0,2.0,,,,
SYNTHETIC_CFL_2024_W17_TOR,,2024,17,CFL,,,,0.0,7.0,1.0,0.0,13.0,,
SYNTHETIC_CFL_2024_W19_TOR,,2024,19,CFL,,,,0.0,19.0,2.0,,,,
SYNTHETIC_CFL_2024_W20_TOR,,2024,20,CFL,,,,2.0,67.0,5.0,,,,
SYNTHETIC_CFL_2024_W21_TOR,,2024,21,CFL,,,,0.0,6.0,1.0,,,,
SYNTHETIC_CFL_2025_W1_TOR,,2025,1,CFL,,,,0.0,34.0,3.0,,,,
SYNTHETIC_CFL_2025_W2_TOR,,2025,2,CFL,,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_2025_W3_TOR,,2025,3,CFL,,,,1.0,53.0,6.0,,,,
SYNTHETIC_CFL_2025_W4_TOR,,2025,4,CFL,,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_2025_W5_TOR,,2025,5,CFL,,,,0.0,42.0,3.0,0.0,12.0,,
SYNTHETIC_CFL_2025_W7_TOR,,2025,7,CFL,,,,0.0,38.0,5.0,,,,
SYNTHETIC_CFL_2025_W8_TOR,,2025,8,CFL,,,,0.0,48.0,3.0,,,,
SYNTHETIC_CFL_2025_W9_TOR,,2025,9,CFL,,,,0.0,38.0,4.0,,,,
SYNTHETIC_CFL_2025_W10_TOR,,2025,10,CFL,,,,1.0,89.0,6.0,,,,
SYNTHETIC_CFL_2025_W11_TOR,,2025,11,CFL,,,,0.0,96.0,7.0,,,,
SYNTHETIC_CFL_2025_W12_TOR,,2025,12,CFL,,,,0.0,118.0,4.0,,,,
SYNTHETIC_CFL_2025_W13_TOR,,2025,13,CFL,,,,0.0,86.0,3.0,,,,
SYNTHETIC_CFL_2025_W15_TOR,,2025,15,CFL,,,,0.0,46.0,2.0,,,,
SYNTHETIC_CFL_2025_W16_TOR,,2025,16,CFL,,,,0.0,37.0,4.0,,,,
SYNTHETIC_CFL_2025_W17_TOR,,2025,17,CFL,,,,0.0,11.0,1.0,,,,
SYNTHETIC_CFL_2025_W18_TOR,,2025,18,CFL,,,,0.0,97.0,8.0,,,,
SYNTHETIC_CFL_2025_W19_TOR,,2025,19,CFL,,,,1.0,54.0,3.0,,,,
SYNTHETIC_CFL_2025_W20_TOR,,2025,20,CFL,,,,0.0,20.0,3.0,,,,
