game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_SOL,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,,0.0,96.0,-11.0
2022-06-17-ATX-CHI,2022-06-17,2022,4,,ATX,CHI,0.0,0.0,,,0.0,0.0,,,,0.0,89.0,26.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,1.0,2.0,,,0.0,2.0,,,,0.0,170.0,62.0
2022-06-25-DAL-ATX,2022-06-25,2022,5,,DAL,ATX,0.0,0.0,,,0.0,1.0,,,,1.0,98.0,23.0
2022-07-02-ATX-DAL,2022-07-02,2022,6,,ATX,DAL,0.0,0.0,,,0.0,4.0,,,,0.0,177.0,19.0
2022-07-09-ATL-ATX,2022-07-09,2022,7,,ATL,ATX,0.0,1.0,,,0.0,0.0,,,,0.0,70.0,8.0
2022-07-16-DAL-ATX,2022-07-16,2022,8,,DAL,ATX,0.0,0.0,,,0.0,1.0,,,,1.0,89.0,47.0
2022-07-29-TB-ATX,2022-07-29,2022,10,,TB,ATX,1.0,2.0,,,1.0,2.0,,,,0.0,178.0,45.0
2023-04-29-ATX-HTX,2023-04-29,2023,1,,ATX,HTX,1.0,1.0,6.0,4.0,,1.0,,,5.0,1.0,82.0,42.0
2023-05-06-DAL-ATX,2023-05-06,2023,2,,DAL,ATX,,1.0,15.0,13.0,,3.0,3.0,,13.0,,137.0,61.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,,ATX,ATL,3.0,1.0,7.0,5.0,1.0,2.0,,1.0,5.0,,55.0,40.0
2023-05-13-ATX-CAR,2023-05-13,2023,3,,ATX,CAR,,,,,,,1.0,,,,,
2023-05-20-SD-ATX,2023-05-20,2023,4,,SD,ATX,,,14.0,13.0,,1.0,2.0,,13.0,,91.0,110.0
2023-05-28-ATX-DAL,2023-05-28,2023,5,,ATX,DAL,3.0,1.0,17.0,13.0,,1.0,,,16.0,1.0,147.0,174.0
2023-06-02-HTX-ATX,2023-06-02,2023,6,,HTX,ATX,1.0,3.0,14.0,11.0,,3.0,1.0,,11.0,,83.0,57.0
2023-06-10-CAR-ATX,2023-06-10,2023,7,,CAR,ATX,2.0,,8.0,7.0,,1.0,,,7.0,,71.0,60.0
2023-06-17-ATX-HTX,2023-06-17,2023,8,,ATX,HTX,,2.0,18.0,16.0,1.0,1.0,1.0,,18.0,2.0,167.0,44.0
2023-07-01-DAL-ATX,2023-07-01,2023,10,,DAL,ATX,1.0,3.0,17.0,17.0,,2.0,3.0,,18.0,1.0,154.0,45.0
2023-07-07-HTX-ATX,2023-07-07,2023,11,,HTX,ATX,,0.0,13.0,11.0,,2.0,0.0,,11.0,,202.0,92.0
2023-07-08-ATX-DAL,2023-07-08,2023,11,,ATX,DAL,1.0,,,,,,,,,,,
2024-05-03-HTX-ATX,2024-05-03,2024,2,,HTX,ATX,0.0,1.0,,,0.0,2.0,,,,0.0,167.0,93.0
2024-05-11-ATX-DAL,2024-05-11,2024,3,,ATX,DAL,0.0,1.0,,,0.0,1.0,,,,2.0,111.0,43.0
2024-05-25-CHI-ATX,2024-05-25,2024,5,,CHI,ATX,1.0,0.0,,,0.0,0.0,,,,0.0,75.0,-7.0
2024-05-31-CAR-ATX,2024-05-31,2024,6,,CAR,ATX,1.0,0.0,,,0.0,1.0,,,,0.0,222.0,25.0
2024-06-01-ATX-HTX,2024-06-01,2024,6,,ATX,HTX,1.0,0.0,,,0.0,2.0,,,,0.0,109.0,129.0
