game_id,date,season,week,league,away,home,assisted_tackles,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,fumbles,fumbles_lost,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_NAL_2025_3_15_T425362G979253@T425356,2025-03-15,2025,2,NAL,Wheeling Miners,Carolina Cobras,,2.0,0.0,0.0,0.0,,,,,0.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_3_21_T425356G979257@T434514,2025-03-21,2025,3,NAL,Carolina Cobras,Columbus Lions,,2.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_3_28_T434514G979258@T425356,2025-03-28,2025,4,NAL,Columbus Lions,Carolina Cobras,,1.0,0.0,0.0,0.0,,,,,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_5_T425362G979262@T425356,2025-04-05,2025,5,NAL,Wheeling Miners,Carolina Cobras,,0.0,0.0,0.0,0.0,,,,,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_10_T425356G979264@T425358,2025-04-11,2025,6,NAL,Carolina Cobras,Idaho Horsemen,,3.0,0.0,0.0,0.0,,,,,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_19_T425356G979270@T425362,2025-04-19,2025,7,NAL,Carolina Cobras,Wheeling Miners,,3.0,19.0,667.0,2.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_3_28_TSANDIEGOSTRIKEFORCEG20260328BGUR@TARIZONARATTLERS,2026-03-28,2026,3,IFL,San Diego Strike Force,Arizona Rattlers,1.0,,,,,,,,4.0,,,,16.8,25.0,0.0,67.0,,,,,,23.0,32.0,1.0,69.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0
FOOTBALL_IFL_2026_4_5_TARIZONARATTLERSG20260405GSAF@TFISHERSFREIGHT,2026-04-05,2026,4,IFL,Arizona Rattlers,Fishers Freight,,,,,,,,,3.0,,,,8.7,12.0,0.0,26.0,,,,,,9.8,17.0,0.0,49.0,5.0,5.0,5.0,1.0,0.0,5.0,,
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,,,,,,1.0,1.0,0.0,4.0,,,,15.8,33.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,13.5,21.0,0.0,27.0,2.0,12.3,30.0,3.0,0.0,37.0,,
FOOTBALL_IFL_2026_4_19_TARIZONARATTLERSG20260419RLTY@TNAZWRANGLERS,2026-04-19,2026,6,IFL,Arizona Rattlers,NAZ Wranglers,,,,,,,,,1.0,,,,15.0,15.0,0.0,15.0,,,,,,11.5,12.0,0.0,23.0,2.0,2.0,2.0,1.0,0.0,2.0,,
FOOTBALL_IFL_2026_4_25_TTULSAOILERSG20260425FEQM@TARIZONARATTLERS,2026-04-25,2026,7,IFL,Tulsa Oilers,Arizona Rattlers,,,,,,,,,5.0,,,,9.4,16.0,0.0,47.0,,,,,,10.8,26.0,2.0,119.0,11.0,2.0,2.0,1.0,0.0,2.0,,
FOOTBALL_IFL_2026_5_3_TARIZONARATTLERSG202605032RVU@TVEGASKNIGHTHAWKS,2026-05-03,2026,8,IFL,Arizona Rattlers,Vegas Knight Hawks,,,,,,,,,4.0,,,,12.0,16.0,0.0,48.0,,,,,,8.4,15.0,1.0,42.0,5.0,,,,,,,
FOOTBALL_IFL_2026_5_10_TTUCSONSUGARSKULLSG20260510QDQW@TARIZONARATTLERS,2026-05-10,2026,9,IFL,Tucson Sugar Skulls,Arizona Rattlers,,,,,,,,,3.0,,,,16.0,19.0,0.0,48.0,,,,,,12.1,23.0,2.0,85.0,7.0,,,,,,,
FOOTBALL_IFL_2026_5_18_TARIZONARATTLERSG20260518E0UH@TNEWMEXICOCHUPACABRAS,2026-05-18,2026,10,IFL,Arizona Rattlers,New Mexico Chupacabras,,,,,,,,,,,,,,,,,,,,,,20.3,43.0,1.0,61.0,3.0,,,,,,,
