game_id,date,season,week,league,away,home,1pt_conversion,3pt_other,3pt_pass,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
1-defenders-seadragons,2023-02-19,2023,1,XFL,SEA DRAGONS,DEFENDERS,,1.0,,,,,,,,
FOOTBALL_XFL_2023_2_19_SEA@DC,2023-02-19,2023,1,XFL,SEA,DC,,,,,2.0,1.0,1.0,288.0,,3.0
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,SEA DRAGONS,BATTLEHAWKS,,,1.0,,,1.0,2.0,196.0,,38.0
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,VIPERS,SEA DRAGONS,,,,,1.0,1.0,4.0,377.0,,32.0
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SEA DRAGONS,BRAHMAS,,,,,1.0,,1.0,264.0,,2.0
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,,,3.0,,1.0,209.0,1.0,33.0
SYNTHETIC_XFL_2023_W5_SEADRAGONS,2023-03-16,2023,5,XFL,SEA DRAGONS,ROUGHNECKS,,,1.0,,,,,,,
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,,,,1.0,,2.0,177.0,,43.0
SYNTHETIC_XFL_2023_W6_SEADRAGONS,2023-03-25,2023,6,XFL,GUARDIANS,SEA DRAGONS,0.0,,,1.0,,,,,,
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,,1.0,,1.0,266.0,,52.0
SYNTHETIC_XFL_2023_W7_SEADRAGONS,2023-03-31,2023,7,XFL,RENEGADES,SEA DRAGONS,0.0,,,1.0,,,,,,
FOOTBALL_XFL_2023_4_9_DC@SEA,2023-04-09,2023,8,XFL,DC,SEA,,,,,1.0,,3.0,301.0,,23.0
SYNTHETIC_XFL_2023_W8_SEADRAGONS,2023-04-09,2023,8,XFL,SEA DRAGONS,DEFENDERS,1.0,,1.0,0.0,,,,,,
FOOTBALL_XFL_2023_4_16_SEA@STL,2023-04-16,2023,9,XFL,SEA,STL,,,,,1.0,,2.0,260.0,1.0,38.0
FOOTBALL_XFL_2023_4_23_VGS@SEA,2023-04-23,2023,10,XFL,VGS,SEA,,,,,2.0,,3.0,339.0,1.0,41.0
SYNTHETIC_XFL_2023_W10_SEADRAGONS,2023-04-23,2023,10,XFL,SEA DRAGONS,VIPERS,0.0,,,2.0,,,,,,
