game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_THUNDERBIRDS,,,1,AUDL,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W2_THUNDERBIRDS,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W3_THUNDERBIRDS,,,3,AUDL,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-06-18-DET-PIT,2022-06-18,2022,4,,DET,PIT,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-02-PIT-IND,2022-07-02,2022,6,,PIT,IND,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-09-DET-PIT,2022-07-09,2022,7,,DET,PIT,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-16-CAR-PIT,2022-07-16,2022,8,,CAR,PIT,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-23-CHI-PIT,2022-07-23,2022,9,,CHI,PIT,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2023-04-29-MAD-PIT,2023-04-29,2023,1,,MAD,PIT,3.0,,46.0,51.0,,,3.0,2.0,,54.0,2.0,78.0,247.0
2023-05-13-PIT-DET,2023-05-13,2023,3,,PIT,DET,4.0,,42.0,46.0,,2.0,4.0,3.0,,47.0,1.0,128.0,491.0
2023-05-20-PIT-MIN,2023-05-20,2023,4,,PIT,MIN,,1.0,32.0,35.0,,,2.0,1.0,1.0,38.0,2.0,138.0,401.0
2023-05-27-PHI-PIT,2023-05-27,2023,5,,PHI,PIT,1.0,1.0,35.0,38.0,,,5.0,3.0,,41.0,3.0,169.0,334.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,,PIT,MAD,3.0,,42.0,43.0,,,3.0,,,46.0,2.0,30.0,294.0
2023-06-11-DET-PIT,2023-06-11,2023,7,,DET,PIT,3.0,,34.0,37.0,,,3.0,,,40.0,1.0,175.0,242.0
2023-06-17-PIT-TOR,2023-06-17,2023,8,,PIT,TOR,4.0,,46.0,51.0,,1.0,1.0,2.0,,54.0,3.0,-18.0,416.0
2023-06-30-DET-PIT,2023-06-30,2023,10,,DET,PIT,2.0,,27.0,36.0,,,3.0,1.0,,37.0,1.0,144.0,280.0
2023-07-07-CHI-PIT,2023-07-07,2023,11,,CHI,PIT,1.0,,43.0,40.0,,3.0,4.0,,,42.0,2.0,156.0,161.0
2023-07-15-PIT-IND,2023-07-15,2023,12,,PIT,IND,2.0,,66.0,73.0,,1.0,3.0,1.0,,74.0,,28.0,452.0
