game_id,date,season,week,league,away,home,assist_tackles,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_made,solo_tackles,tackles
FOOTBALL_AAF_2019_2_10_SL@ARI,2019-02-10,2019,1,AAF,SL,ARI,0.0,,,,,,6.0,6.0,0.0,6.0,1.0,7.0,
FOOTBALL_AAF_2019_2_16_ARI@MEM,2019-02-16,2019,2,AAF,ARI,MEM,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,
FOOTBALL_AAF_2019_2_23_ARI@SL,2019-02-23,2019,3,AAF,ARI,SL,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,
FOOTBALL_AAF_2019_3_16_ARI@ORL,2019-03-16,2019,6,AAF,ARI,ORL,4.0,,,,,,12.0,12.0,0.0,12.0,1.0,8.0,
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,3.0,,,,,,26.0,26.0,0.0,26.0,1.0,7.0,
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,3.0,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,2.0,,,,,,,,,,,7.0,9.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,5.0,,,,,,,,,,,5.0,10.0
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,5.0,,,,,,,,,,,9.0,14.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,5.0,,,,,,,,,,,3.0,8.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,1.0,,,,,,,,,,,7.0,8.0
