game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed
9889283,2023-06-08,2023,1,CFL,BC,CGY,,113.0,2.0
9889299,2023-07-07,2023,5,CFL,CGY,WPG,1.0,30.0,
9889305,2023-07-15,2023,6,CFL,CGY,SSK,3.0,163.0,
9889309,2023-07-23,2023,7,CFL,OTT,CGY,1.0,105.0,
9889313,2023-07-30,2023,8,CFL,CGY,MTL,,242.0,
9889315,2023-08-04,2023,9,CFL,TOR,CGY,2.0,87.0,
9889320,2023-08-12,2023,10,CFL,CGY,BC,,107.0,
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,214.0,2.0
9889327,2023-08-25,2023,12,CFL,CGY,TOR,4.0,27.0,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,119.0,
9889337,2023-09-09,2023,14,CFL,CGY,EDM,2.0,92.0,
9889344,2023-09-23,2023,16,CFL,MTL,CGY,1.0,27.0,1.0
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,211.0,1.0
9889355,2023-10-13,2023,19,CFL,SSK,CGY,3.0,44.0,
9889358,2023-10-20,2023,20,CFL,CGY,BC,5.0,38.0,
9889361,2023-10-27,2023,21,CFL,WPG,CGY,1.0,64.0,1.0
10798017,2024-06-07,2024,1,CFL,HAM,CGY,2.0,235.0,
10798144,2024-05-25,2024,2,CFL,BC,CGY,2.0,13.0,
10798030,2024-06-29,2024,4,CFL,WPG,CGY,1.0,168.0,
10798034,2024-07-06,2024,5,CFL,CGY,MTL,2.0,53.0,
10798037,2024-07-12,2024,6,CFL,CGY,WPG,4.0,101.0,
10798043,2024-07-21,2024,7,CFL,BC,CGY,2.0,43.0,
10798045,2024-07-26,2024,8,CFL,CGY,OTT,,90.0,
10798051,2024-08-04,2024,9,CFL,TOR,CGY,2.0,187.0,
10798053,2024-08-09,2024,10,CFL,CGY,TOR,3.0,33.0,
10798056,2024-08-15,2024,11,CFL,OTT,CGY,3.0,77.0,
10798067,2024-09-02,2024,13,CFL,EDM,CGY,2.0,70.0,
10798071,2024-09-07,2024,14,CFL,CGY,EDM,1.0,120.0,
10798074,2024-09-14,2024,15,CFL,MTL,CGY,1.0,114.0,
10798076,2024-09-20,2024,16,CFL,SSK,CGY,2.0,41.0,
10798084,2024-10-04,2024,18,CFL,CGY,BC,2.0,,
10798087,2024-10-12,2024,19,CFL,EDM,CGY,1.0,21.0,
10798090,2024-10-18,2024,20,CFL,CGY,HAM,,87.0,
10798096,2024-10-26,2024,21,CFL,CGY,SSK,3.0,58.0,
11824047,2025-06-07,2025,1,CFL,HAM,CGY,1.0,42.0,
11824051,2025-06-14,2025,2,CFL,CGY,TOR,2.0,91.0,
11824055,2025-06-21,2025,3,CFL,OTT,CGY,,135.0,
11824061,2025-07-03,2025,5,CFL,WPG,CGY,5.0,,
11824065,2025-07-11,2025,6,CFL,CGY,SSK,3.0,16.0,
11824069,2025-07-18,2025,7,CFL,CGY,WPG,5.0,69.0,
11824072,2025-07-24,2025,8,CFL,MTL,CGY,1.0,,
11824076,2025-07-31,2025,9,CFL,CGY,OTT,1.0,37.0,
11824083,2025-08-09,2025,10,CFL,WPG,CGY,2.0,119.0,
11824091,2025-08-23,2025,12,CFL,SSK,CGY,3.0,53.0,
11824094,2025-09-01,2025,13,CFL,EDM,CGY,2.0,82.0,
11824098,2025-09-06,2025,14,CFL,CGY,EDM,1.0,58.0,
11824104,2025-09-19,2025,16,CFL,BC,CGY,1.0,52.0,
11824107,2025-09-26,2025,17,CFL,CGY,MTL,2.0,62.0,
11824113,2025-10-04,2025,18,CFL,CGY,BC,1.0,95.0,
11824115,2025-10-11,2025,19,CFL,CGY,HAM,2.0,153.0,
11824121,2025-10-18,2025,20,CFL,TOR,CGY,5.0,124.0,
11824123,2025-10-24,2025,21,CFL,CGY,EDM,1.0,107.0,
