game_id,date,season,week,league,away,home,extra_point,field_goal_yards,interceptions_lost,made_19,made_29,made_39,made_49,made_50,missed,passing_tds,passing_yards
SYNTHETIC_USFL_W5_MICH,,,5,USFL,,,2.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0
SYNTHETIC_USFL_W6_MICH,,,6,USFL,,,2.0,,,0.0,0.0,0.0,0.0,1.0,0.0,,
SYNTHETIC_USFL_W7_MICH,,,7,USFL,,,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,,
SYNTHETIC_USFL_W8_MICH,,,8,USFL,,,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,,
SYNTHETIC_USFL_W9_MICH,,,9,USFL,,,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,,
SYNTHETIC_USFL_W10_MICH,,,10,USFL,,,3.0,,,0.0,0.0,1.0,1.0,0.0,0.0,,
SYNTHETIC_USFL_2023_W1_PANTHERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,2.0,35.0,,,,,,,,,
SYNTHETIC_USFL_2023_W2_PANTHERS,2023-04-23,2023,2,USFL,STARS,PANTHERS,3.0,39.0,,,,,,,1.0,,
SYNTHETIC_USFL_2023_W3_PANTHERS,2023-04-30,2023,3,USFL,PANTHERS,GENERALS,1.0,75.0,,,,,,,,,
SYNTHETIC_USFL_2023_W4_PANTHERS,2023-05-06,2023,4,USFL,PANTHERS,SHOWBOATS,1.0,24.0,,,,,,,,,
SYNTHETIC_USFL_2023_W5_PANTHERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,1.0,,,,,,,,,,
SYNTHETIC_USFL_2023_W6_PANTHERS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,1.0,76.0,,,,,,,1.0,,
SYNTHETIC_USFL_2023_W7_PANTHERS,2023-05-28,2023,7,USFL,GENERALS,PANTHERS,1.0,77.0,,,,,,,,,
SYNTHETIC_USFL_2023_W8_PANTHERS,2023-06-04,2023,8,USFL,BREAKERS,PANTHERS,1.0,56.0,,,,,,,1.0,,
SYNTHETIC_USFL_2023_W9_PANTHERS,2023-06-10,2023,9,USFL,MAULERS,PANTHERS,1.0,,,,,,,,,,
SYNTHETIC_USFL_2023_W10_PANTHERS,2023-06-18,2023,10,USFL,PANTHERS,STARS,,109.0,,,,,,,1.0,,
SYNTHETIC_USFL_2023_W11_PANTHERS,,2023,11,USFL,,,3.0,70.0,,,,,,,1.0,,
