game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_8_T425361G979250@T463723,2025-03-09,2025,1,NAL,Sioux City Bandits,Beaumont Renegades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,48.0,0.0,151.0,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,3.0,,
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,16.0,0.0,31.0,,0.0,0.0,,2.0,,
FOOTBALL_NAL_2025_4_26_T463723G979273@T425361,2025-04-27,2025,8,NAL,Beaumont Renegades,Sioux City Bandits,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,17.0,0.0,26.0,,0.0,0.0,,3.0,,
FOOTBALL_NAL_2025_5_3_T450150G979276@T463723,2025-05-03,2025,9,NAL,Shreveport Rouxgaroux,Beaumont Renegades,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,27.0,44.0,1.0,54.0,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_5_17_T434514G979287@T463723,2025-05-17,2025,11,NAL,Columbus Lions,Beaumont Renegades,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,22.0,0.0,22.0,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_3_16_TVEGASKNIGHTHAWKSG20260316CMKJ@TGREENBAYBLIZZARD,2026-03-16,2026,1,IFL,Vegas Knight Hawks,Green Bay Blizzard,1.0,,,,,,,,,,,,,,,3.0,4.0,,
FOOTBALL_IFL_2026_3_21_TFISHERSFREIGHTG20260321YQ5B@TGREENBAYBLIZZARD,2026-03-21,2026,2,IFL,Fishers Freight,Green Bay Blizzard,3.0,,,,,,,,,,,,5.0,0.5,,2.0,5.0,0.5,5.0
FOOTBALL_IFL_2026_4_4_TGREENBAYBLIZZARDG2026040443LQ@TIOWABARNSTORMERS,2026-04-04,2026,4,IFL,Green Bay Blizzard,Iowa Barnstormers,0.0,,,,,,,,,,,,,,,1.0,1.0,,
FOOTBALL_IFL_2026_4_11_TGREENBAYBLIZZARDG20260411RZSM@TQUADCITYSTEAMWHEELERS,2026-04-11,2026,5,IFL,Green Bay Blizzard,Quad City Steamwheelers,0.0,,,,,,,,,,,,,,,2.0,2.0,,
FOOTBALL_IFL_2026_4_18_TIOWABARNSTORMERSG20260418BIFV@TGREENBAYBLIZZARD,2026-04-18,2026,6,IFL,Iowa Barnstormers,Green Bay Blizzard,2.0,,,,,1.0,,,,,,,,,,0.0,2.0,0.5,0.0
FOOTBALL_IFL_2026_4_24_TORLANDOPIRATESG20260424R5XA@TGREENBAYBLIZZARD,2026-04-24,2026,7,IFL,Orlando Pirates,Green Bay Blizzard,1.0,,,,,,,,,,,,,,,1.0,2.0,,
FOOTBALL_IFL_2026_5_16_TGREENBAYBLIZZARDG202605163ZVX@TTULSAOILERS,2026-05-16,2026,10,IFL,Green Bay Blizzard,Tulsa Oilers,2.0,,,,,,,,,,,,,,,4.0,6.0,2.0,0.0
