game_id,date,season,week,league,away,home,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2025-05-28-1483809,2025-05-28,2025,1,T20I,Belgium,Switzerland,24.0,0.0,2.0,37.0,1.0,5.0,,,1.0
cricket-t20i-2025-05-29-1483810,2025-05-29,2025,1,T20I,Belgium,Switzerland,12.0,0.0,1.0,14.0,1.0,2.0,,,1.0
cricket-t20i-2025-05-29-1483811,2025-05-29,2025,1,T20I,Switzerland,Belgium,12.0,0.0,2.0,11.0,1.0,4.0,,,1.0
cricket-t20i-2025-07-19-1494578,2025-07-19,2025,1,T20I,Finland,Switzerland,12.0,0.0,0.0,18.0,1.0,7.0,,,1.0
cricket-t20i-2025-07-19-1494579,2025-07-19,2025,1,T20I,Switzerland,Estonia,24.0,0.0,1.0,15.0,1.0,3.0,1.0,1.0,1.0
cricket-t20i-2025-07-20-1494581,2025-07-20,2025,1,T20I,Finland,Switzerland,12.0,0.0,0.0,7.0,1.0,2.0,,,1.0
cricket-t20i-2025-09-12-1500864,2025-09-12,2025,1,T20I,Switzerland,Luxembourg,12.0,0.0,1.0,10.0,0.0,2.0,,,1.0
cricket-t20i-2025-09-13-1500866,2025-09-13,2025,1,T20I,Austria,Switzerland,24.0,0.0,1.0,22.0,1.0,2.0,,,1.0
cricket-t20i-2025-09-14-1500868,2025-09-14,2025,1,T20I,Luxembourg,Switzerland,18.0,0.0,0.0,11.0,1.0,2.0,1.0,,1.0
