game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-07-08-PIT-CHI,2023-07-08,2023,11,,PIT,CHI,1.0,,,,,,,,,,2.0,,
2023-07-15-PIT-IND,2023-07-15,2023,12,,PIT,IND,1.0,,16.0,14.0,,,1.0,,,15.0,1.0,102.0,37.0
2023-07-22-IND-PIT,2023-07-22,2023,13,,IND,PIT,4.0,,22.0,19.0,1.0,1.0,2.0,1.0,,21.0,1.0,277.0,120.0
2024-04-27-MIN-PIT,2024-04-27,2024,1,,MIN,PIT,2.0,2.0,,,0.0,1.0,,,,,0.0,96.0,54.0
2024-05-11-MAD-PIT,2024-05-11,2024,3,,MAD,PIT,2.0,3.0,,,0.0,1.0,,,,,1.0,271.0,128.0
2024-05-18-PIT-MIN,2024-05-18,2024,4,,PIT,MIN,1.0,0.0,,,2.0,1.0,,,,,0.0,159.0,-23.0
2024-05-24-DET-PIT,2024-05-24,2024,5,,DET,PIT,1.0,1.0,,,0.0,1.0,,,,,2.0,218.0,221.0
2024-05-25-PIT-TOR,2024-05-25,2024,5,,PIT,TOR,1.0,0.0,,,0.0,3.0,,,,,4.0,225.0,96.0
2024-06-02-IND-PIT,2024-06-02,2024,6,,IND,PIT,0.0,0.0,,,0.0,0.0,,,,,0.0,31.0,40.0
2024-06-14-PIT-CHI,2024-06-14,2024,8,,PIT,CHI,2.0,2.0,,,0.0,0.0,,,,,0.0,72.0,33.0
2024-06-22-PIT-DET,2024-06-22,2024,9,,PIT,DET,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-29-CAR-PIT,2024-06-29,2024,10,,CAR,PIT,1.0,1.0,,,0.0,3.0,,,,,0.0,202.0,95.0
2024-07-06-PIT-MAD,2024-07-06,2024,11,,PIT,MAD,1.0,0.0,,,0.0,2.0,,,,,3.0,169.0,66.0
2024-07-14-IND-PIT,2024-07-14,2024,12,,IND,PIT,1.0,1.0,,,0.0,1.0,,,,,0.0,68.0,26.0
2024-07-20-PIT-PHI,2024-07-20,2024,13,,PIT,PHI,1.0,1.0,,,1.0,1.0,,,,,0.0,98.0,46.0
2025-05-02-IND-PIT,2025-05-02,2025,2,,IND,PIT,1.0,1.0,,,0.0,1.0,,,,,1.0,150.0,120.0
2025-05-11-PIT-DET,2025-05-11,2025,3,,PIT,DET,0.0,0.0,,,0.0,2.0,,,,,0.0,175.0,20.0
2025-05-17-PIT-MAD,2025-05-17,2025,4,,PIT,MAD,2.0,0.0,,,0.0,1.0,,,,,2.0,156.0,108.0
2025-05-24-MIN-PIT,2025-05-24,2025,5,,MIN,PIT,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-06-01-CAR-PIT,2025-06-01,2025,6,,CAR,PIT,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-06-07-PIT-MIN,2025-06-07,2025,7,,PIT,MIN,0.0,1.0,,,0.0,2.0,,,,,1.0,76.0,-1.0
2025-06-14-PHI-PIT,2025-06-14,2025,8,,PHI,PIT,0.0,1.0,,,1.0,0.0,,,,,1.0,30.0,78.0
2025-06-20-PIT-CHI,2025-06-20,2025,9,,PIT,CHI,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-06-22-DET-PIT,2025-06-22,2025,9,,DET,PIT,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2025-06-28-PIT-TOR,2025-06-28,2025,10,,PIT,TOR,1.0,1.0,,,0.0,0.0,,,,,5.0,198.0,57.0
2025-07-05-CHI-PIT,2025-07-05,2025,11,,CHI,PIT,0.0,0.0,,,0.0,0.0,,,,,0.0,40.0,25.0
2025-07-19-PIT-IND,2025-07-19,2025,13,,PIT,IND,0.0,1.0,,,0.0,3.0,,,,,0.0,136.0,14.0
