game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-t20i-2021-11-05-1283047,2021-11-05,2021,1,T20I,Mozambique,Sierra Leone,21.0,2.0,0.0,5.0,21.0,1.0,,,,,,,,1.0
cricket-t20i-2021-11-06-1283048,2021-11-06,2021,1,T20I,Botswana,Mozambique,13.0,0.0,0.0,8.0,4.0,0.0,,,,,,,,1.0
cricket-t20i-2022-09-18-1332503,2022-09-18,2022,1,T20I,Uganda,Mozambique,1.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,1.0
cricket-t20i-2022-09-19-1332504,2022-09-19,2022,1,T20I,Botswana,Mozambique,19.0,0.0,1.0,8.0,12.0,0.0,,,,,,,1.0,1.0
cricket-t20i-2022-12-01-1343770,2022-12-01,2022,1,T20I,Mozambique,Nigeria,24.0,0.0,0.0,5.0,10.0,0.0,,,,,,,1.0,1.0
cricket-t20i-2022-12-02-1343773,2022-12-02,2022,1,T20I,Ghana,Mozambique,,,,,,,,,,,,,1.0,1.0
cricket-t20i-2022-12-05-1343780,2022-12-05,2022,1,T20I,Mozambique,Tanzania,,,,,,,,,,,,,1.0,1.0
cricket-t20i-2022-12-08-1343791,2022-12-08,2022,1,T20I,Mozambique,Gambia,3.0,0.0,0.0,5.0,2.0,0.0,,,,,,,,1.0
cricket-t20i-2024-10-19-1453923,2024-10-19,2024,1,T20I,Kenya,Mozambique,6.0,0.0,0.0,5.0,2.0,0.0,,,,,,,,1.0
cricket-t20i-2024-10-20-1453927,2024-10-20,2024,1,T20I,Mozambique,Zimbabwe,18.0,2.0,0.0,5.0,14.0,0.0,,,,,,,,1.0
cricket-t20i-2024-10-22-1453933,2024-10-22,2024,1,T20I,Mozambique,Seychelles,20.0,0.0,1.0,5.0,26.0,1.0,24.0,0.0,0.0,24.0,2.0,1.0,,1.0
cricket-t20i-2024-10-23-1453931,2024-10-23,2024,1,T20I,Rwanda,Mozambique,,,,,,,12.0,0.0,0.0,16.0,0.0,4.0,,1.0
cricket-t20i-2024-10-24-1453926,2024-10-24,2024,1,T20I,Gambia,Mozambique,29.0,1.0,1.0,6.0,31.0,1.0,,,,,,,,1.0
cricket-t20i-2025-09-12-1501502,2025-09-12,2025,1,T20I,Eswatini,Mozambique,23.0,1.0,0.0,5.0,29.0,3.0,,,,,,,,1.0
cricket-t20i-2025-09-12-1501503,2025-09-12,2025,1,T20I,Eswatini,Mozambique,15.0,1.0,0.0,7.0,19.0,1.0,18.0,0.0,0.0,24.0,2.0,0.0,,1.0
cricket-t20i-2025-09-13-1501504,2025-09-13,2025,1,T20I,Eswatini,Mozambique,2.0,0.0,0.0,6.0,6.0,1.0,18.0,0.0,0.0,42.0,2.0,3.0,,1.0
cricket-t20i-2025-09-13-1501505,2025-09-13,2025,1,T20I,Eswatini,Mozambique,31.0,5.0,0.0,4.0,42.0,2.0,24.0,0.0,0.0,26.0,1.0,1.0,,1.0
cricket-t20i-2025-09-14-1501506,2025-09-14,2025,1,T20I,Eswatini,Mozambique,,,,,,,15.0,1.0,0.0,15.0,2.0,4.0,1.0,1.0
