game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_BHAM,,2022,1,USFL,,,,,0.0,45.0,4.0,0.0,1.0
SYNTHETIC_USFL_2022_W2_BHAM,,2022,2,USFL,,,0.0,1.0,0.0,39.0,8.0,0.0,
SYNTHETIC_USFL_2022_W3_BHAM,,2022,3,USFL,,,,,1.0,70.0,6.0,0.0,0.0
SYNTHETIC_USFL_2022_W4_BHAM,,2022,4,USFL,,,,0.0,0.0,61.0,5.0,,
SYNTHETIC_USFL_2022_W5_BHAM,,2022,5,USFL,,,,0.0,0.0,45.0,6.0,0.0,-5.0
SYNTHETIC_USFL_2022_W6_BHAM,,2022,6,USFL,,,,,0.0,18.0,3.0,0.0,4.0
SYNTHETIC_USFL_2022_W7_BHAM,,2022,7,USFL,,,,,0.0,53.0,1.0,,
SYNTHETIC_USFL_2022_W9_BHAM,,2022,9,USFL,,,,,0.0,74.0,8.0,,
SYNTHETIC_USFL_2022_W10_BHAM,,2022,10,USFL,,,,,0.0,18.0,1.0,,
SYNTHETIC_USFL_2022_W11_BHAM,,2022,11,USFL,,,,,0.0,2.0,1.0,,
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,40.0,3.0,,
