game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-t20i-2021-11-03-1283044,2021-11-03,2021,1,T20I,Mozambique,Cameroon,4.0,0.0,0.0,4.0,3.0,0.0,,,,,,,,1.0
cricket-t20i-2021-11-05-1283046,2021-11-05,2021,1,T20I,Cameroon,Botswana,25.0,0.0,0.0,2.0,6.0,0.0,,,,,,,,1.0
cricket-t20i-2021-11-06-1283049,2021-11-06,2021,1,T20I,Tanzania,Cameroon,22.0,1.0,0.0,2.0,16.0,0.0,,,,,,,1.0,1.0
cricket-t20i-2021-11-07-1283050,2021-11-07,2021,1,T20I,Cameroon,Sierra Leone,26.0,2.0,0.0,3.0,18.0,0.0,,,,,,,,1.0
cricket-t20i-2022-09-19-1332506,2022-09-19,2022,1,T20I,Cameroon,Kenya,5.0,1.0,0.0,8.0,5.0,0.0,,,,,,,,1.0
cricket-t20i-2022-12-02-1343774,2022-12-02,2022,1,T20I,Cameroon,Sierra Leone,2.0,0.0,0.0,4.0,1.0,0.0,12.0,0.0,0.0,19.0,0.0,2.0,,1.0
cricket-t20i-2022-12-04-1343776,2022-12-04,2022,1,T20I,Cameroon,Mozambique,11.0,2.0,0.0,4.0,14.0,0.0,,,,,,,,1.0
cricket-t20i-2022-12-05-1343782,2022-12-05,2022,1,T20I,Cameroon,Nigeria,29.0,0.0,0.0,4.0,17.0,0.0,,,,,,,,1.0
cricket-t20i-2022-12-09-1343793,2022-12-09,2022,1,T20I,Gambia,Cameroon,26.0,2.0,0.0,3.0,19.0,0.0,,,,,,,,1.0
cricket-t20i-2022-12-09-1343795,2022-12-09,2022,1,T20I,Tanzania,Cameroon,16.0,2.0,0.0,7.0,20.0,1.0,,,,,,,,1.0
