game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,tackles
SYNTHETIC_CFL_2023_W2_CGY,,2023,2,CFL,,,0.0,51.0,3.0,1.0
SYNTHETIC_CFL_2023_W3_CGY,,2023,3,CFL,,,0.0,63.0,4.0,
SYNTHETIC_CFL_2023_W5_CGY,,2023,5,CFL,,,0.0,44.0,5.0,
SYNTHETIC_CFL_2023_W6_CGY,,2023,6,CFL,,,0.0,32.0,5.0,
SYNTHETIC_CFL_2023_W7_CGY,,2023,7,CFL,,,1.0,101.0,6.0,
SYNTHETIC_CFL_2023_W8_CGY,,2023,8,CFL,,,0.0,87.0,8.0,
SYNTHETIC_CFL_2023_W10_CGY,,2023,10,CFL,,,0.0,30.0,4.0,
SYNTHETIC_CFL_2023_W11_CGY,,2023,11,CFL,,,0.0,8.0,2.0,
SYNTHETIC_CFL_2023_W16_CGY,,2023,16,CFL,,,0.0,55.0,4.0,
SYNTHETIC_CFL_2023_W17_CGY,,2023,17,CFL,,,0.0,83.0,7.0,
SYNTHETIC_CFL_2023_W19_CGY,,2023,19,CFL,,,0.0,15.0,2.0,
SYNTHETIC_CFL_2023_W20_CGY,,2023,20,CFL,,,0.0,16.0,1.0,
SYNTHETIC_CFL_2023_W21_CGY,,2023,21,CFL,,,0.0,23.0,2.0,
