game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions
SYNTHETIC_CFL_2024_W11_SSK,2024-08-16,2024,11,CFL,MTL,SSK,0.0,101.0,8.0
SYNTHETIC_CFL_2024_W12_SSK,2024-08-22,2024,12,CFL,SSK,TOR,0.0,61.0,3.0
SYNTHETIC_CFL_2024_W13_SSK,2024-09-01,2024,13,CFL,WPG,SSK,1.0,86.0,5.0
SYNTHETIC_CFL_2025_W1_SSK,2025-06-05,2025,1,CFL,OTT,SSK,0.0,28.0,3.0
SYNTHETIC_CFL_2025_W2_SSK,2025-06-14,2025,2,CFL,SSK,HAM,0.0,40.0,5.0
SYNTHETIC_CFL_2025_W3_SSK,2025-06-20,2025,3,CFL,SSK,TOR,2.0,125.0,4.0
SYNTHETIC_CFL_2025_W4_SSK,2025-06-28,2025,4,CFL,BC,SSK,0.0,15.0,3.0
SYNTHETIC_CFL_2025_W6_SSK,2025-07-11,2025,6,CFL,CGY,SSK,0.0,54.0,6.0
SYNTHETIC_CFL_2025_W7_SSK,2025-07-19,2025,7,CFL,SSK,BC,2.0,132.0,7.0
SYNTHETIC_CFL_2025_W8_SSK,2025-07-25,2025,8,CFL,EDM,SSK,0.0,35.0,2.0
SYNTHETIC_CFL_2025_W9_SSK,2025-08-02,2025,9,CFL,SSK,MTL,0.0,136.0,5.0
SYNTHETIC_CFL_2025_W11_SSK,2025-08-16,2025,11,CFL,HAM,SSK,1.0,76.0,3.0
SYNTHETIC_CFL_2025_W12_SSK,2025-08-23,2025,12,CFL,SSK,CGY,1.0,32.0,3.0
SYNTHETIC_CFL_2025_W13_SSK,2025-08-31,2025,13,CFL,WPG,SSK,0.0,52.0,3.0
SYNTHETIC_CFL_2025_W14_SSK,2025-09-06,2025,14,CFL,SSK,WPG,0.0,37.0,3.0
SYNTHETIC_CFL_2025_W15_SSK,2025-09-13,2025,15,CFL,MTL,SSK,1.0,89.0,7.0
SYNTHETIC_CFL_2025_W17_SSK,2025-09-27,2025,17,CFL,SSK,EDM,0.0,47.0,5.0
SYNTHETIC_CFL_2025_W18_SSK,2025-10-03,2025,18,CFL,SSK,OTT,1.0,158.0,6.0
