game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
10798142,2024-05-20,2024,1,CFL,WPG,SSK,0.0,81.0,7.0,,
10798145,2024-05-25,2024,2,CFL,SSK,EDM,0.0,112.0,6.0,,
10798027,2024-06-23,2024,3,CFL,HAM,SSK,0.0,23.0,4.0,,
10798032,2024-07-04,2024,5,CFL,TOR,SSK,0.0,26.0,1.0,,
10798038,2024-07-13,2024,6,CFL,SSK,BC,0.0,9.0,2.0,,
10798044,2024-07-25,2024,8,CFL,SSK,MTL,0.0,23.0,2.0,,
10798050,2024-08-03,2024,9,CFL,EDM,SSK,0.0,41.0,2.0,,
10798052,2024-08-08,2024,10,CFL,SSK,OTT,0.0,9.0,1.0,,
10798085,2024-10-05,2024,18,CFL,SSK,EDM,0.0,39.0,4.0,,
10798088,2024-10-12,2024,19,CFL,BC,SSK,1.0,60.0,6.0,,
10798096,2024-10-26,2024,21,CFL,CGY,SSK,1.0,69.0,4.0,,
11824049,2025-06-12,2025,2,CFL,BC,WPG,0.0,13.0,1.0,0.0,5.0
11824056,2025-06-21,2025,3,CFL,WPG,BC,0.0,36.0,3.0,,
11824057,2025-06-26,2025,4,CFL,EDM,WPG,0.0,26.0,2.0,,
11824061,2025-07-03,2025,5,CFL,WPG,CGY,1.0,49.0,7.0,,
11824069,2025-07-18,2025,7,CFL,CGY,WPG,0.0,14.0,2.0,,
11824074,2025-07-26,2025,8,CFL,WPG,TOR,1.0,72.0,4.0,,
11824077,2025-08-01,2025,9,CFL,TOR,WPG,0.0,53.0,6.0,,
11824083,2025-08-09,2025,10,CFL,WPG,CGY,1.0,27.0,3.0,,
11824084,2025-08-14,2025,11,CFL,OTT,WPG,1.0,50.0,4.0,,
11824088,2025-08-21,2025,12,CFL,WPG,MTL,0.0,40.0,3.0,,
11824109,2025-09-27,2025,17,CFL,HAM,WPG,0.0,33.0,2.0,,
11824116,2025-10-11,2025,19,CFL,WPG,EDM,0.0,43.0,5.0,,
11824118,2025-10-17,2025,20,CFL,SSK,WPG,0.0,40.0,4.0,,
11824124,2025-10-25,2025,21,CFL,MTL,WPG,0.0,34.0,2.0,,
