game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,1.0,1.0,21.0,1.0,3.0,,2.0,21.0,,,,,,,,,
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,,,2.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,48.0,3.0,4.0,2.0,10.0,60.0,,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,17.0,3.0,7.0,,1.0,46.0,,,,,,,,,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,,,11.0,5.0,7.0,,7.0,39.0,,,,,,,,,
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,,,12.0,1.0,1.0,,,12.0,,,,,,,,,
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,1.0,1.0,,,1.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_1_OTT@MTL,2016-09-01,2016,1,CFL,OTT,MTL,,,36.0,1.0,3.0,,6.0,36.0,,,,,,,,,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,3.0,2.0,3.0,,-2.0,1.0,,,,,,1.0,,2.0,
FOOTBALL_CFL_2017_8_10_EDM@OTT,2017-08-10,2017,1,CFL,EDM,OTT,,,70.0,3.0,8.0,,38.0,84.0,,,,,,,,,
FOOTBALL_CFL_2017_8_17_EDM@WPG,2017-08-17,2017,1,CFL,EDM,WPG,,,,2.0,3.0,1.0,6.0,55.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,,,8.0,3.0,6.0,,,22.0,,,,,,1.0,,2.0,
FOOTBALL_CFL_2017_8_4_HAM@EDM,2017-08-04,2017,1,CFL,HAM,EDM,,,13.0,4.0,7.0,,6.0,42.0,,,,,,,,,
FOOTBALL_CFL_2017_9_4_EDM@CGY,2017-09-04,2017,1,CFL,EDM,CGY,,,16.0,8.0,12.0,1.0,12.0,62.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_10_13_OTT@EDM,2018-10-13,2018,1,CFL,OTT,EDM,,,10.0,1.0,2.0,,,10.0,,,,,,,,,
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,,23.0,2.0,5.0,,18.0,37.0,62.0,1.0,1.0,7.0,62.0,,,,
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,,,12.0,1.0,4.0,,3.0,12.0,,,,,,,,,
FOOTBALL_CFL_2018_6_14_EDM@WPG,2018-06-14,2018,1,CFL,EDM,WPG,,,27.0,5.0,8.0,,22.0,69.0,,,,,,,,,
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,,,55.0,1.0,4.0,,9.0,55.0,,,,,,,,,
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,1.0,1.0,22.0,6.0,8.0,1.0,21.0,72.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_7_13_TOR@EDM,2018-07-13,2018,1,CFL,TOR,EDM,,,17.0,3.0,5.0,,18.0,37.0,,,,,,,,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,37.0,5.0,7.0,,45.0,105.0,,,,,,,,,
FOOTBALL_CFL_2018_7_7_EDM@TOR,2018-07-07,2018,1,CFL,EDM,TOR,,,50.0,7.0,9.0,,38.0,98.0,,,,,,,,,
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,1.0,1.0,22.0,4.0,7.0,,43.0,55.0,,,,,,,,,
FOOTBALL_CFL_2018_8_23_EDM@HAM,2018-08-23,2018,1,CFL,EDM,HAM,,,-1.0,1.0,3.0,,-1.0,-1.0,,,,,,,,,
FOOTBALL_CFL_2018_8_2_SSK@EDM,2018-08-02,2018,1,CFL,SSK,EDM,,,46.0,3.0,4.0,,11.0,54.0,,,,,,,,,
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,,,13.0,4.0,6.0,,5.0,36.0,,,,,,,,,
FOOTBALL_CFL_2018_9_22_EDM@OTT,2018-09-22,2018,1,CFL,EDM,OTT,,,14.0,4.0,7.0,,-1.0,35.0,,,,,,,,,
FOOTBALL_CFL_2018_9_29_WPG@EDM,2018-09-29,2018,1,CFL,WPG,EDM,,,,,4.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_3_EDM@CGY,2018-09-03,2018,1,CFL,EDM,CGY,,,26.0,4.0,5.0,,15.0,51.0,,,,,,,,,
FOOTBALL_CFL_2018_9_8_CGY@EDM,2018-09-08,2018,1,CFL,CGY,EDM,,,19.0,5.0,8.0,1.0,17.0,67.0,,,,,,,1.0,6.0,1.0
