game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_EMPIRE,,,1,AUDL,,,4.0,0.0,,,,0.0,5.0,,,,,0.0,445.0,131.0
SYNTHETIC_AUDL_W2_EMPIRE,,,2,AUDL,,,3.0,3.0,,,,0.0,2.0,,,,,3.0,187.0,120.0
SYNTHETIC_AUDL_W3_EMPIRE,,,3,AUDL,,,0.0,1.0,,,,0.0,5.0,,,,,1.0,194.0,57.0
2022-06-18-OTT-NY,2022-06-18,2022,4,,OTT,NY,1.0,3.0,,,,0.0,4.0,,,,,2.0,201.0,54.0
2022-07-01-MTL-NY,2022-07-01,2022,6,,MTL,NY,3.0,0.0,,,,0.0,2.0,,,,,0.0,135.0,77.0
2022-07-09-BOS-NY,2022-07-09,2022,7,,BOS,NY,5.0,0.0,,,,0.0,1.0,,,,,0.0,239.0,164.0
2022-07-22-NY-PHI,2022-07-22,2022,9,,NY,PHI,1.0,1.0,,,,0.0,4.0,,,,,5.0,285.0,79.0
2023-04-29-PHI-NY,2023-04-29,2023,1,,PHI,NY,1.0,1.0,,9.0,8.0,,2.0,1.0,,12.0,10.0,1.0,91.0,32.0
2023-05-05-TOR-NY,2023-05-05,2023,2,,TOR,NY,1.0,2.0,,19.0,13.0,,4.0,1.0,,19.0,15.0,2.0,261.0,142.0
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,4.0,1.0,,11.0,9.0,,,1.0,1.0,12.0,12.0,3.0,165.0,93.0
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,,3.0,,3.0,1.0,,1.0,,,8.0,2.0,1.0,67.0,2.0
2023-06-02-NY-BOS,2023-06-02,2023,6,,NY,BOS,,,,9.0,6.0,,2.0,1.0,,4.0,7.0,,101.0,-2.0
2023-06-10-ATL-NY,2023-06-10,2023,7,,ATL,NY,,3.0,,7.0,7.0,1.0,,2.0,,16.0,8.0,1.0,123.0,87.0
2023-06-16-BOS-NY,2023-06-16,2023,8,,BOS,NY,1.0,1.0,,7.0,3.0,,2.0,,,13.0,5.0,2.0,131.0,28.0
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,,2.0,,15.0,13.0,,2.0,2.0,1.0,12.0,13.0,,223.0,77.0
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,2.0,1.0,,11.0,7.0,,4.0,,,15.0,7.0,,197.0,66.0
2023-07-22-MTL-NY,2023-07-22,2023,13,,MTL,NY,1.0,2.0,1.0,4.0,5.0,,1.0,3.0,,16.0,5.0,,82.0,44.0
2024-04-27-MTL-NY,2024-04-27,2024,1,,MTL,NY,0.0,0.0,,,,0.0,4.0,,,,,1.0,208.0,55.0
2024-05-04-NY-ATL,2024-05-04,2024,2,,NY,ATL,3.0,2.0,,,,0.0,0.0,,,,,1.0,168.0,93.0
2024-05-17-NY-BOS,2024-05-17,2024,4,,NY,BOS,5.0,0.0,,,,0.0,4.0,,,,,1.0,270.0,112.0
2024-05-18-NY-MTL,2024-05-18,2024,4,,NY,MTL,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-05-24-PHI-NY,2024-05-24,2024,5,,PHI,NY,0.0,0.0,,,,0.0,5.0,,,,,1.0,187.0,39.0
2024-05-31-BOS-NY,2024-05-31,2024,6,,BOS,NY,2.0,1.0,,,,0.0,6.0,,,,,2.0,302.0,16.0
2024-06-08-NY-DC,2024-06-08,2024,7,,NY,DC,2.0,2.0,,,,0.0,2.0,,,,,0.0,252.0,141.0
