game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_catches,fielding_runouts,match_played
cricket-t20i-2024-04-21-1429009,2024-04-21,2024,1,T20I,Indonesia,Mongolia,1.0,0.0,0.0,5.0,0.0,0.0,,,1.0
cricket-t20i-2024-04-21-1429010,2024-04-21,2024,1,T20I,Indonesia,Mongolia,6.0,0.0,0.0,5.0,3.0,0.0,1.0,,1.0
cricket-t20i-2024-04-22-1429011,2024-04-22,2024,1,T20I,Mongolia,Indonesia,4.0,0.0,0.0,5.0,1.0,0.0,,,1.0
cricket-t20i-2024-04-22-1429012,2024-04-22,2024,1,T20I,Indonesia,Mongolia,17.0,0.0,0.0,2.0,4.0,0.0,,,1.0
cricket-t20i-2024-04-24-1429013,2024-04-24,2024,1,T20I,Indonesia,Mongolia,15.0,0.0,0.0,1.0,4.0,0.0,,,1.0
cricket-t20i-2024-04-24-1429014,2024-04-24,2024,1,T20I,Mongolia,Indonesia,1.0,0.0,0.0,1.0,0.0,0.0,,,1.0
cricket-t20i-2025-06-05-1485409,2025-06-05,2025,1,T20I,Mongolia,China,1.0,0.0,0.0,4.0,0.0,0.0,,,1.0
cricket-t20i-2025-06-06-1485411,2025-06-06,2025,1,T20I,Philippines,Mongolia,24.0,0.0,0.0,2.0,3.0,0.0,,2.0,1.0
cricket-t20i-2025-06-07-1485413,2025-06-07,2025,1,T20I,Mongolia,Hong Kong,3.0,0.0,0.0,4.0,0.0,0.0,,,1.0
cricket-t20i-2025-06-08-1489041,2025-06-08,2025,1,T20I,Mongolia,Philippines,5.0,0.0,1.0,5.0,4.0,0.0,,,1.0
