game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
11824051,2025-06-14,2025,2,CFL,CGY,TOR,0.0,29.0,2.0,,
11824054,2025-06-20,2025,3,CFL,SSK,TOR,0.0,16.0,3.0,,
11824082,2025-08-09,2025,10,CFL,OTT,TOR,1.0,84.0,6.0,,
11824085,2025-08-15,2025,11,CFL,TOR,EDM,1.0,38.0,3.0,,
11824090,2025-08-23,2025,12,CFL,BC,TOR,2.0,149.0,5.0,,
11824093,2025-09-01,2025,13,CFL,TOR,HAM,2.0,67.0,6.0,,
11824101,2025-09-13,2025,15,CFL,EDM,TOR,2.0,81.0,4.0,,
11824103,2025-09-19,2025,16,CFL,MTL,TOR,1.0,51.0,6.0,,
11824108,2025-09-26,2025,17,CFL,TOR,BC,0.0,104.0,10.0,,
11824112,2025-10-04,2025,18,CFL,HAM,TOR,0.0,19.0,4.0,0.0,6.0
11824114,2025-10-10,2025,19,CFL,TOR,SSK,0.0,26.0,3.0,,
11824121,2025-10-18,2025,20,CFL,TOR,CGY,0.0,92.0,7.0,0.0,4.0
